
BUSES AND NODES IN ACTIVE CIRCUIT: 5002086

                                                         Coord                                 Number of     Nodes
  Bus                               Base kV             (x, y)                      Keep?       Nodes        connected ...

"84808465002086"                  13.800          ( -49.322705635, -16.577556787)     No           3          1    2    3 
"81463945002086"                  13.800          ( -49.320085334, -16.605820987)     No           3          1    2    3 
"81463945002086b"                 13.800          ( -49.320085334, -16.605820987)     No           3          1    2    3 
"82034695002086"                  13.800          ( -49.329453716, -16.63321882 )     No           3          1    2    3 
"82034695002086b"                 13.800          ( -49.329453716, -16.63321882 )     No           3          1    2    3 
"82034735002086"                  13.800          ( -49.322693168, -16.577745122)     No           3          1    2    3 
"82034735002086b"                 13.800          ( -49.322693196, -16.577745086)     No           3          1    2    3 
"82044285002086"                  13.800          ( -49.315104505, -16.610929751)     No           3          1    2    3 
"82044285002086b"                 13.800          ( -49.315104515, -16.610929778)     No           3          1    2    3 
"82054225002086"                  13.800          ( -49.324028574, -16.623698485)     No           3          1    2    3 
"82054225002086b"                 13.800          ( -49.324028574, -16.623698485)     No           3          1    2    3 
"82061785002086"                  13.800          ( -49.325191719, -16.62467479 )     No           3          1    2    3 
"82061785002086b"                 13.800          ( -49.325191719, -16.62467479 )     No           3          1    2    3 
"82021065002086"                  13.800          ( -49.317855456, -16.602828088)     No           3          1    2    3 
"82021065002086b"                 13.800          ( -49.317855456, -16.602828088)     No           3          1    2    3 
"82021185002086"                  13.800          ( -49.315021868, -16.604287165)     No           3          1    2    3 
"82021185002086b"                 13.800          ( -49.315021868, -16.604287165)     No           3          1    2    3 
"82021295002086"                  13.800          ( -49.312367128, -16.605639199)     No           3          1    2    3 
"82021295002086b"                 13.800          ( -49.312367128, -16.605639199)     No           3          1    2    3 
"82020565002086"                  13.800          ( -49.312551558, -16.605984106)     No           3          1    2    3 
"82020565002086b"                 13.800          ( -49.312551558, -16.605984106)     No           3          1    2    3 
"82020685002086"                  13.800          ( -49.315132749, -16.604468806)     No           3          1    2    3 
"82020685002086b"                 13.800          ( -49.315132749, -16.604468806)     No           3          1    2    3 
"82022045002086"                  13.800          ( -49.318982344, -16.603641446)     No           3          1    2    3 
"82022045002086b"                 13.800          ( -49.318982344, -16.603641446)     No           3          1    2    3 
"82032965002086"                  13.800          ( -49.327522505, -16.62167575 )     No           3          1    2    3 
"82032965002086b"                 13.800          ( -49.327522505, -16.62167575 )     No           3          1    2    3 
"82033185002086"                  13.800          ( -49.328472931, -16.619877452)     No           3          1    2    3 
"82033185002086b"                 13.800          ( -49.328472931, -16.619877452)     No           3          1    2    3 
"82024945002086"                  13.800          ( -49.32927059 , -16.619037854)     No           3          1    2    3 
"82024945002086b"                 13.800          ( -49.32927059 , -16.619037854)     No           3          1    2    3 
"82035225002086"                  13.800          ( -49.320685336, -16.614743258)     No           3          1    2    3 
"82035225002086b"                 13.800          ( -49.320685336, -16.614743258)     No           3          1    2    3 
"82036255002086"                  13.800          ( -49.320412686, -16.614840439)     No           3          1    2    3 
"82036255002086b"                 13.800          ( -49.32028956 , -16.614859677)     No           3          1    2    3 
"82027155002086"                  13.800          ( -49.334471488, -16.625101611)     No           3          1    2    3 
"82027155002086b"                 13.800          ( -49.334471488, -16.625101611)     No           3          1    2    3 
"82026665002086"                  13.800          ( -49.331175391, -16.627497214)     No           3          1    2    3 
"82026665002086b"                 13.800          ( -49.331175391, -16.627497214)     No           3          1    2    3 
"81488785002086"                  13.800          ( -49.326153018, -16.582692372)     No           3          1    2    3 
"81488785002086b"                 13.800          ( -49.326147337, -16.582690881)     No           3          1    2    3 
"82041135002086"                  13.800          ( -49.309948719, -16.6067672  )     No           3          1    2    3 
"82041135002086b"                 13.800          ( -49.309948719, -16.6067672  )     No           3          1    2    3 
"82041735002086"                  13.800          ( -49.30771937 , -16.608773287)     No           3          1    2    3 
"82041735002086b"                 13.800          ( -49.30771937 , -16.608773287)     No           3          1    2    3 
"82041395002086"                  13.800          ( -49.305311211, -16.610119571)     No           3          1    2    3 
"82041395002086b"                 13.800          ( -49.305311211, -16.610119571)     No           3          1    2    3 
"82041875002086"                  13.800          ( -49.304502734, -16.610513264)     No           3          1    2    3 
