hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 1530.42, 739.078, 1531.82, 739.513, 1530.55, 739.032
2, 0.00000, 1400.06, 662.235, 1401.34, 662.63, 1400.17, 662.196
3, 0.00000, 1308.87, 610.309, 1310.07, 610.676, 1308.96, 610.275
4, 0.00000, 1290.15, 599.714, 1291.33, 600.076, 1290.24, 599.681
5, 0.00000, 1277.8, 592.723, 1278.97, 593.082, 1277.88, 592.691
6, 0.00000, 1333.79, 623.94, 1335.01, 624.315, 1333.89, 623.905
7, 0.00000, 1422.35, 674.758, 1423.65, 675.159, 1422.46, 674.718
8, 0.00000, 1386.48, 653.973, 1387.74, 654.363, 1386.58, 653.935
9, 0.00000, 1471.75, 705.065, 1473.09, 705.482, 1471.86, 705.022
10, 0.00000, 1611.14, 790.913, 1612.61, 791.373, 1611.28, 790.861
11, 0.00000, 1653.4, 817.762, 1654.9, 818.236, 1653.54, 817.707
12, 0.00000, 1784.27, 900.641, 1785.88, 901.154, 1784.44, 900.577
13, 0.00000, 1891.99, 972.614, 1893.7, 973.16, 1892.18, 972.541
14, 0.00000, 1795.21, 909.798, 1796.84, 910.316, 1795.39, 909.733
15, 0.00000, 1828.23, 932.242, 1829.88, 932.771, 1828.41, 932.174
16, 0.00000, 1803.74, 916.28, 1805.38, 916.801, 1803.92, 916.214
17, 0.00000, 1846.58, 943.488, 1848.25, 944.021, 1846.76, 943.418
18, 0.00000, 1945.85, 1008.03, 1947.61, 1008.59, 1946.06, 1007.95
19, 0.00000, 2290.06, 1267.54, 2292.14, 1268.21, 2290.36, 1267.43
20, 0.00000, 2354.38, 1322.36, 2356.52, 1323.05, 2354.7, 1322.24
21, 0.00000, 2310.56, 1287.21, 2312.66, 1287.89, 2310.86, 1287.1
22, 0.00000, 2190.96, 1186.91, 2192.95, 1187.55, 2191.23, 1186.81
23, 0.00000, 1953.56, 1011.14, 1955.33, 1011.71, 1953.77, 1011.07
24, 0.00000, 1778.14, 893.186, 1779.75, 893.694, 1778.31, 893.122
25, 0.00000, 1530.52, 739.013, 1531.91, 739.447, 1530.64, 738.966
26, 0.00000, 1400.06, 662.235, 1401.34, 662.63, 1400.17, 662.196
27, 0.00000, 1308.87, 610.309, 1310.07, 610.676, 1308.96, 610.275
28, 0.00000, 1290.15, 599.714, 1291.33, 600.076, 1290.24, 599.681
29, 0.00000, 1277.8, 592.723, 1278.97, 593.082, 1277.88, 592.691
30, 0.00000, 1333.79, 623.94, 1335.01, 624.315, 1333.89, 623.905
31, 0.00000, 1422.35, 674.758, 1423.65, 675.159, 1422.46, 674.718
32, 0.00000, 1386.48, 653.973, 1387.74, 654.363, 1386.58, 653.935
33, 0.00000, 1471.75, 705.065, 1473.09, 705.482, 1471.86, 705.022
34, 0.00000, 1611.14, 790.913, 1612.61, 791.373, 1611.28, 790.861
35, 0.00000, 1653.4, 817.762, 1654.9, 818.236, 1653.54, 817.707
36, 0.00000, 1784.27, 900.641, 1785.88, 901.154, 1784.44, 900.577
37, 0.00000, 1891.99, 972.614, 1893.7, 973.16, 1892.18, 972.541
38, 0.00000, 1795.21, 909.798, 1796.84, 910.316, 1795.39, 909.733
39, 0.00000, 1828.23, 932.242, 1829.88, 932.771, 1828.41, 932.174
40, 0.00000, 1803.74, 916.28, 1805.38, 916.801, 1803.92, 916.214
41, 0.00000, 1846.58, 943.488, 1848.25, 944.021, 1846.76, 943.418
42, 0.00000, 1945.85, 1008.03, 1947.61, 1008.59, 1946.06, 1007.95
43, 0.00000, 2290.06, 1267.54, 2292.14, 1268.21, 2290.36, 1267.43
44, 0.00000, 2354.38, 1322.36, 2356.52, 1323.05, 2354.7, 1322.24
45, 0.00000, 2310.56, 1287.21, 2312.66, 1287.89, 2310.86, 1287.1
46, 0.00000, 2190.96, 1186.91, 2192.95, 1187.55, 2191.23, 1186.81
47, 0.00000, 1953.56, 1011.14, 1955.33, 1011.71, 1953.77, 1011.07
48, 0.00000, 1778.14, 893.186, 1779.75, 893.694, 1778.31, 893.122
48, 0.00000, 1778.14, 893.186, 1779.75, 893.694, 1778.31, 893.122
49, 0.00000, 1530.52, 739.013, 1531.91, 739.447, 1530.64, 738.966
50, 0.00000, 1400.06, 662.235, 1401.34, 662.63, 1400.17, 662.196
51, 0.00000, 1308.87, 610.309, 1310.07, 610.676, 1308.96, 610.275
52, 0.00000, 1290.15, 599.714, 1291.33, 600.076, 1290.24, 599.681
53, 0.00000, 1277.8, 592.723, 1278.97, 593.082, 1277.88, 592.691
54, 0.00000, 1333.79, 623.94, 1335.01, 624.315, 1333.89, 623.905
55, 0.00000, 1422.35, 674.758, 1423.65, 675.159, 1422.46, 674.718
56, 0.00000, 1386.48, 653.973, 1387.74, 654.363, 1386.58, 653.935
57, 0.00000, 1471.75, 705.065, 1473.09, 705.482, 1471.86, 705.022
58, 0.00000, 1611.14, 790.913, 1612.61, 791.373, 1611.28, 790.861
59, 0.00000, 1653.4, 817.762, 1654.9, 818.236, 1653.54, 817.707
60, 0.00000, 1784.27, 900.641, 1785.88, 901.154, 1784.44, 900.577
61, 0.00000, 1891.99, 972.614, 1893.7, 973.16, 1892.18, 972.541
62, 0.00000, 1795.21, 909.798, 1796.84, 910.316, 1795.39, 909.733
63, 0.00000, 1828.23, 932.242, 1829.88, 932.771, 1828.41, 932.174
64, 0.00000, 1803.74, 916.28, 1805.38, 916.801, 1803.92, 916.214
65, 0.00000, 1846.58, 943.488, 1848.25, 944.021, 1846.76, 943.418
66, 0.00000, 1945.85, 1008.03, 1947.61, 1008.59, 1946.06, 1007.95
67, 0.00000, 2290.06, 1267.54, 2292.14, 1268.21, 2290.36, 1267.43
68, 0.00000, 2354.38, 1322.36, 2356.52, 1323.05, 2354.7, 1322.24
69, 0.00000, 2310.56, 1287.21, 2312.66, 1287.89, 2310.86, 1287.1
70, 0.00000, 2190.96, 1186.91, 2192.95, 1187.55, 2191.23, 1186.81
71, 0.00000, 1953.56, 1011.14, 1955.33, 1011.71, 1953.77, 1011.07
72, 0.00000, 1778.14, 893.186, 1779.75, 893.694, 1778.31, 893.122
73, 0.00000, 1530.52, 739.013, 1531.91, 739.447, 1530.64, 738.966
74, 0.00000, 1400.06, 662.235, 1401.34, 662.63, 1400.17, 662.196
75, 0.00000, 1308.87, 610.309, 1310.07, 610.676, 1308.96, 610.275
76, 0.00000, 1290.15, 599.714, 1291.33, 600.076, 1290.24, 599.681
77, 0.00000, 1277.8, 592.723, 1278.97, 593.082, 1277.88, 592.691
78, 0.00000, 1333.79, 623.94, 1335.01, 624.315, 1333.89, 623.905
79, 0.00000, 1422.35, 674.758, 1423.65, 675.159, 1422.46, 674.718
80, 0.00000, 1386.48, 653.973, 1387.74, 654.363, 1386.58, 653.935
81, 0.00000, 1471.75, 705.065, 1473.09, 705.482, 1471.86, 705.022
82, 0.00000, 1611.14, 790.913, 1612.61, 791.373, 1611.28, 790.861
83, 0.00000, 1653.4, 817.762, 1654.9, 818.236, 1653.54, 817.707
84, 0.00000, 1784.27, 900.641, 1785.88, 901.154, 1784.44, 900.577
85, 0.00000, 1891.99, 972.614, 1893.7, 973.16, 1892.18, 972.541
86, 0.00000, 1795.21, 909.798, 1796.84, 910.316, 1795.39, 909.733
87, 0.00000, 1828.23, 932.242, 1829.88, 932.771, 1828.41, 932.174
88, 0.00000, 1803.74, 916.28, 1805.38, 916.801, 1803.92, 916.214
89, 0.00000, 1846.58, 943.488, 1848.25, 944.021, 1846.76, 943.418
90, 0.00000, 1945.85, 1008.03, 1947.61, 1008.59, 1946.06, 1007.95
91, 0.00000, 2290.06, 1267.54, 2292.14, 1268.21, 2290.36, 1267.43
92, 0.00000, 2354.38, 1322.36, 2356.52, 1323.05, 2354.7, 1322.24
93, 0.00000, 2310.56, 1287.21, 2312.66, 1287.89, 2310.86, 1287.1
94, 0.00000, 2190.96, 1186.91, 2192.95, 1187.55, 2191.23, 1186.81
95, 0.00000, 1953.56, 1011.14, 1955.33, 1011.71, 1953.77, 1011.07
96, 0.00000, 1778.14, 893.186, 1779.75, 893.694, 1778.31, 893.122
