hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 28.6723, 13.6461, 28.6726, 13.6429, 28.6748, 13.6453, 0, 0
2, 0.00000, 26.3223, 12.3151, 26.3225, 12.3124, 26.3243, 12.3145, 0, 0
3, 0.00000, 24.6653, 11.4077, 24.6656, 11.4054, 24.6671, 11.4071, 0, 0
4, 0.00000, 24.3255, 11.2211, 24.3257, 11.2188, 24.3272, 11.2205, 0, 0
5, 0.00000, 24.0996, 11.0984, 24.0998, 11.0962, 24.1013, 11.0979, 0, 0
6, 0.00000, 25.1198, 11.6474, 25.12, 11.645, 25.1217, 11.6468, 0, 0
7, 0.00000, 26.7262, 12.5341, 26.7265, 12.5313, 26.7284, 12.5334, 0, 0
8, 0.00000, 26.0765, 12.1714, 26.0768, 12.1687, 26.0786, 12.1707, 0, 0
9, 0.00000, 27.6167, 13.0612, 27.617, 13.0582, 27.619, 13.0604, 0, 0
10, 0.00000, 30.1141, 14.5399, 30.1144, 14.5363, 30.1169, 14.539, 0, 0
11, 0.00000, 30.8659, 14.9984, 30.8662, 14.9946, 30.8688, 14.9975, 0, 0
12, 0.00000, 33.1814, 16.4022, 33.1818, 16.3977, 33.1848, 16.4011, 0, 0
13, 0.00000, 35.0683, 17.6104, 35.0688, 17.6054, 35.0722, 17.6092, 0, 0
14, 0.00000, 33.3721, 16.5584, 33.3725, 16.5539, 33.3755, 16.5572, 0, 0
15, 0.00000, 33.9507, 16.9369, 33.9512, 16.9323, 33.9543, 16.9358, 0, 0
16, 0.00000, 33.5209, 16.6687, 33.5213, 16.6642, 33.5244, 16.6676, 0, 0
17, 0.00000, 34.2733, 17.1245, 34.2738, 17.1197, 34.277, 17.1233, 0, 0
18, 0.00000, 36.0073, 18.1992, 36.0079, 18.1939, 36.0115, 18.1979, 0, 0
19, 0.00000, 41.2844, 23.7988, 41.2849, 23.7912, 41.2901, 23.7967, 0, 0
20, 0.00000, 42.1023, 24.6363, 42.1029, 24.6283, 42.1084, 24.6342, 0, 0
21, 0.00000, 41.5398, 24.0783, 41.5404, 24.0705, 41.5457, 24.0762, 0, 0
22, 0.00000, 39.9861, 22.5748, 39.9865, 22.5679, 39.9913, 22.5729, 0, 0
23, 0.00000, 36.1442, 18.2481, 36.1447, 18.2428, 36.1483, 18.2468, 0, 0
24, 0.00000, 33.0779, 16.2713, 33.0783, 16.2669, 33.0813, 16.2702, 0, 0
25, 0.00000, 28.6744, 13.6439, 28.6747, 13.6407, 28.6768, 13.6431, 0, 0
26, 0.00000, 26.3223, 12.3151, 26.3225, 12.3124, 26.3243, 12.3145, 0, 0
27, 0.00000, 24.6653, 11.4077, 24.6656, 11.4054, 24.6671, 11.4071, 0, 0
28, 0.00000, 24.3255, 11.2211, 24.3257, 11.2188, 24.3272, 11.2205, 0, 0
29, 0.00000, 24.0996, 11.0984, 24.0998, 11.0962, 24.1013, 11.0979, 0, 0
30, 0.00000, 25.1198, 11.6474, 25.12, 11.645, 25.1217, 11.6468, 0, 0
31, 0.00000, 26.7262, 12.5341, 26.7265, 12.5313, 26.7284, 12.5334, 0, 0
32, 0.00000, 26.0765, 12.1714, 26.0768, 12.1687, 26.0786, 12.1707, 0, 0
33, 0.00000, 27.6167, 13.0612, 27.617, 13.0582, 27.619, 13.0604, 0, 0
34, 0.00000, 30.1141, 14.5399, 30.1144, 14.5363, 30.1169, 14.539, 0, 0
35, 0.00000, 30.8659, 14.9984, 30.8662, 14.9946, 30.8688, 14.9975, 0, 0
36, 0.00000, 33.1814, 16.4022, 33.1818, 16.3977, 33.1848, 16.4011, 0, 0
37, 0.00000, 35.0683, 17.6104, 35.0688, 17.6054, 35.0722, 17.6092, 0, 0
38, 0.00000, 33.3721, 16.5584, 33.3725, 16.5539, 33.3755, 16.5572, 0, 0
39, 0.00000, 33.9507, 16.9369, 33.9512, 16.9323, 33.9543, 16.9358, 0, 0
40, 0.00000, 33.5209, 16.6687, 33.5213, 16.6642, 33.5244, 16.6676, 0, 0
41, 0.00000, 34.2733, 17.1245, 34.2738, 17.1197, 34.277, 17.1233, 0, 0
42, 0.00000, 36.0073, 18.1992, 36.0079, 18.1939, 36.0115, 18.1979, 0, 0
43, 0.00000, 41.2844, 23.7988, 41.2849, 23.7912, 41.2901, 23.7967, 0, 0
44, 0.00000, 42.1023, 24.6363, 42.1029, 24.6283, 42.1084, 24.6342, 0, 0
45, 0.00000, 41.5398, 24.0783, 41.5404, 24.0705, 41.5457, 24.0762, 0, 0
46, 0.00000, 39.9861, 22.5748, 39.9865, 22.5679, 39.9913, 22.5729, 0, 0
47, 0.00000, 36.1442, 18.2481, 36.1447, 18.2428, 36.1483, 18.2468, 0, 0
48, 0.00000, 33.0779, 16.2713, 33.0783, 16.2669, 33.0813, 16.2702, 0, 0
