hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 975.761, 688.188, 977.163, 688.656, 975.851, 688.166
2, 0.00000, 898.17, 619.474, 899.456, 619.898, 898.246, 619.456
3, 0.00000, 841.918, 573.071, 843.123, 573.463, 841.983, 573.055
4, 0.00000, 823.053, 563.783, 824.241, 564.169, 823.116, 563.768
5, 0.00000, 827.994, 558.383, 829.172, 558.765, 828.057, 558.369
6, 0.00000, 807.065, 581.579, 808.293, 581.982, 807.131, 581.565
7, 0.00000, 584.015, 614.715, 585.326, 615.165, 584.074, 614.711
8, 0.00000, 140.483, 609.809, 141.771, 610.269, 140.517, 609.825
9, 0.00000, -130.162, 685.19, -128.788, 685.702, -130.139, 685.224
10, 0.00000, -262.846, 787.024, -261.336, 787.606, -262.822, 787.073
11, 0.00000, -333.86, 825.494, -332.307, 826.1, -333.838, 825.55
12, 0.00000, -1583.52, 1145.89, -1581.79, 1146.64, -1583.57, 1146.05
13, 0.00000, -1133.58, 1090.47, -1131.76, 1091.25, -1133.6, 1090.6
14, 0.00000, -789.802, 951.464, -788.097, 952.168, -789.802, 951.56
15, 0.00000, -171.406, 877.377, -169.694, 878.054, -171.365, 877.431
16, 0.00000, 462.399, 821.257, 464.066, 821.878, 462.48, 821.268
17, 0.00000, 974.111, 852.201, 975.804, 852.801, 974.231, 852.181
18, 0.00000, 1232.7, 924.788, 1234.48, 925.408, 1232.85, 924.753
19, 0.00000, 1437.99, 1144.43, 1440.09, 1145.19, 1438.2, 1144.39
20, 0.00000, 1485.68, 1191.48, 1487.84, 1192.26, 1485.91, 1191.43
21, 0.00000, 1458.59, 1160.36, 1460.72, 1161.13, 1458.81, 1160.31
22, 0.00000, 1390.09, 1078.53, 1392.1, 1079.24, 1390.29, 1078.48
23, 0.00000, 1240.32, 927.709, 1242.11, 928.329, 1240.47, 927.674
24, 0.00000, 1135.7, 823.811, 1137.33, 824.366, 1135.82, 823.781
25, 0.00000, 976.176, 687.435, 977.578, 687.904, 976.266, 687.414
26, 0.00000, 898.165, 619.476, 899.451, 619.899, 898.241, 619.458
27, 0.00000, 841.918, 573.071, 843.123, 573.463, 841.983, 573.055
28, 0.00000, 823.053, 563.783, 824.241, 564.169, 823.116, 563.768
29, 0.00000, 827.994, 558.383, 829.172, 558.765, 828.057, 558.369
30, 0.00000, 807.065, 581.579, 808.293, 581.982, 807.131, 581.565
31, 0.00000, 584.015, 614.715, 585.326, 615.165, 584.074, 614.711
32, 0.00000, 140.483, 609.809, 141.771, 610.269, 140.517, 609.825
33, 0.00000, -130.162, 685.19, -128.788, 685.702, -130.139, 685.224
34, 0.00000, -262.846, 787.024, -261.336, 787.606, -262.822, 787.073
35, 0.00000, -333.86, 825.494, -332.307, 826.1, -333.838, 825.55
36, 0.00000, -236.956, 886.478, -235.281, 887.136, -236.921, 886.535
37, 0.00000, -26.5555, 918.451, -24.7858, 919.145, -26.5004, 918.499
38, 0.00000, 98.6831, 845.446, 100.355, 846.088, 98.7392, 845.481
39, 0.00000, 354.504, 842.478, 356.198, 843.117, 354.579, 842.496
40, 0.00000, 605.755, 819.748, 607.418, 820.358, 605.845, 819.749
41, 0.00000, 974.023, 852.405, 975.716, 853.005, 974.143, 852.385
42, 0.00000, 1232.7, 924.789, 1234.48, 925.408, 1232.85, 924.753
43, 0.00000, 1437.99, 1144.43, 1440.09, 1145.19, 1438.2, 1144.39
44, 0.00000, 1485.68, 1191.48, 1487.84, 1192.26, 1485.91, 1191.43
45, 0.00000, 1458.59, 1160.36, 1460.72, 1161.13, 1458.81, 1160.31
46, 0.00000, 1390.09, 1078.53, 1392.1, 1079.24, 1390.29, 1078.48
47, 0.00000, 1240.32, 927.709, 1242.11, 928.329, 1240.47, 927.674
48, 0.00000, 1135.7, 823.811, 1137.33, 824.366, 1135.82, 823.781
48, 0.00000, 1135.7, 823.811, 1137.33, 824.366, 1135.82, 823.781
