hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 1.0802, 0.472948, 0, 0
2, 0.00000, 0.991556, 0.426716, 0, 0
3, 0.00000, 0.929674, 0.395256, 0, 0
4, 0.00000, 0.916898, 0.388827, 0, 0
5, 0.00000, 0.908553, 0.38454, 0, 0
6, 0.00000, 0.946589, 0.403417, 0, 0
7, 0.00000, 1.00672, 0.434149, 0, 0
8, 0.00000, 0.982336, 0.42163, 0, 0
9, 0.00000, 1.04031, 0.452617, 0, 0
10, 0.00000, 1.13523, 0.504373, 0, 0
11, 0.00000, 1.16403, 0.520536, 0, 0
12, 0.00000, 1.25337, 0.569788, 0, 0
13, 0.00000, 1.32704, 0.612617, 0, 0
14, 0.00000, 1.26084, 0.575604, 0, 0
15, 0.00000, 1.28345, 0.589051, 0, 0
16, 0.00000, 1.2667, 0.579601, 0, 0
17, 0.00000, 1.29598, 0.595568, 0, 0
18, 0.00000, 1.3639, 0.633386, 0, 0
19, 0.00000, 1.60212, 0.782859, 0, 0
20, 0.00000, 1.64779, 0.814491, 0, 0
21, 0.00000, 1.61675, 0.793543, 0, 0
22, 0.00000, 1.5327, 0.737563, 0, 0
23, 0.00000, 1.36911, 0.634844, 0, 0
24, 0.00000, 1.24905, 0.564803, 0, 0
25, 0.00000, 1.08022, 0.472936, 0, 0
26, 0.00000, 0.991556, 0.426716, 0, 0
27, 0.00000, 0.929674, 0.395256, 0, 0
28, 0.00000, 0.916898, 0.388827, 0, 0
29, 0.00000, 0.908553, 0.38454, 0, 0
30, 0.00000, 0.946589, 0.403417, 0, 0
31, 0.00000, 1.00672, 0.434149, 0, 0
32, 0.00000, 0.982336, 0.42163, 0, 0
33, 0.00000, 1.04031, 0.452617, 0, 0
34, 0.00000, 1.13523, 0.504373, 0, 0
35, 0.00000, 1.16403, 0.520536, 0, 0
36, 0.00000, 1.25337, 0.569788, 0, 0
37, 0.00000, 1.32704, 0.612617, 0, 0
38, 0.00000, 1.26084, 0.575604, 0, 0
39, 0.00000, 1.28345, 0.589051, 0, 0
40, 0.00000, 1.2667, 0.579601, 0, 0
41, 0.00000, 1.29598, 0.595568, 0, 0
42, 0.00000, 1.3639, 0.633386, 0, 0
43, 0.00000, 1.60212, 0.782859, 0, 0
44, 0.00000, 1.64779, 0.814491, 0, 0
45, 0.00000, 1.61675, 0.793543, 0, 0
46, 0.00000, 1.5327, 0.737563, 0, 0
47, 0.00000, 1.36911, 0.634844, 0, 0
48, 0.00000, 1.24905, 0.564803, 0, 0
48, 0.00000, 1.24905, 0.564803, 0, 0
