hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 10.3208, 4.49724, 10.3209, 4.49611, 10.3217, 4.49692, 0, 0
2, 0.00000, 9.46019, 4.07216, 9.46024, 4.07121, 9.46091, 4.07189, 0, 0
3, 0.00000, 8.85636, 3.78118, 8.8564, 3.78036, 8.85698, 3.78095, 0, 0
4, 0.00000, 8.73187, 3.72139, 8.73191, 3.72059, 8.73248, 3.72117, 0, 0
5, 0.00000, 8.65004, 3.68168, 8.65009, 3.68089, 8.65064, 3.68146, 0, 0
6, 0.00000, 9.02158, 3.85711, 9.02162, 3.85625, 9.02223, 3.85687, 0, 0
7, 0.00000, 9.60763, 4.14106, 9.60769, 4.14008, 9.60838, 4.14079, 0, 0
8, 0.00000, 9.37036, 4.02538, 9.37041, 4.02445, 9.37107, 4.02512, 0, 0
9, 0.00000, 9.93384, 4.31093, 9.9339, 4.30988, 9.93464, 4.31063, 0, 0
10, 0.00000, 10.852, 4.78437, 10.8521, 4.7831, 10.853, 4.78401, 0, 0
11, 0.00000, 11.1295, 4.93128, 11.1296, 4.92994, 11.1305, 4.9309, 0, 0
12, 0.00000, 11.987, 5.37697, 11.9871, 5.3754, 11.9882, 5.37652, 0, 0
13, 0.00000, 12.6901, 5.76145, 12.6901, 5.75968, 12.6914, 5.76094, 0, 0
14, 0.00000, 12.0583, 5.42912, 12.0583, 5.42754, 12.0595, 5.42867, 0, 0
15, 0.00000, 12.274, 5.5501, 12.2741, 5.54845, 12.2752, 5.54963, 0, 0
16, 0.00000, 12.114, 5.46511, 12.1141, 5.46351, 12.1152, 5.46466, 0, 0
17, 0.00000, 12.3938, 5.60863, 12.3939, 5.60695, 12.3951, 5.60815, 0, 0
18, 0.00000, 13.0407, 5.94695, 13.0408, 5.94507, 13.0422, 5.94641, 0, 0
19, 0.00000, 15.2802, 7.26117, 15.2803, 7.2585, 15.2822, 7.2604, 0, 0
20, 0.00000, 15.7041, 7.53499, 15.7043, 7.53215, 15.7063, 7.53417, 0, 0
21, 0.00000, 15.4157, 7.35344, 15.4158, 7.35071, 15.4178, 7.35265, 0, 0
22, 0.00000, 14.6326, 6.86688, 14.6327, 6.86446, 14.6344, 6.86619, 0, 0
23, 0.00000, 13.0909, 5.95998, 13.091, 5.95809, 13.0923, 5.95944, 0, 0
24, 0.00000, 11.9469, 5.33195, 11.947, 5.3304, 11.9481, 5.33151, 0, 0
25, 0.00000, 10.3213, 4.4969, 10.3213, 4.49577, 10.3221, 4.49658, 0, 0
26, 0.00000, 9.46019, 4.07216, 9.46024, 4.07121, 9.46091, 4.07189, 0, 0
27, 0.00000, 8.85636, 3.78118, 8.8564, 3.78036, 8.85698, 3.78095, 0, 0
28, 0.00000, 8.73187, 3.72139, 8.73191, 3.72059, 8.73248, 3.72117, 0, 0
29, 0.00000, 8.65004, 3.68168, 8.65009, 3.68089, 8.65064, 3.68146, 0, 0
30, 0.00000, 9.02158, 3.85711, 9.02162, 3.85625, 9.02223, 3.85687, 0, 0
31, 0.00000, 9.60763, 4.14106, 9.60769, 4.14008, 9.60838, 4.14079, 0, 0
32, 0.00000, 9.37036, 4.02538, 9.37041, 4.02445, 9.37107, 4.02512, 0, 0
33, 0.00000, 9.93384, 4.31093, 9.9339, 4.30988, 9.93464, 4.31063, 0, 0
34, 0.00000, 10.852, 4.78437, 10.8521, 4.7831, 10.853, 4.78401, 0, 0
35, 0.00000, 11.1295, 4.93128, 11.1296, 4.92994, 11.1305, 4.9309, 0, 0
36, 0.00000, 11.987, 5.37697, 11.9871, 5.3754, 11.9882, 5.37652, 0, 0
37, 0.00000, 12.6901, 5.76145, 12.6901, 5.75968, 12.6914, 5.76094, 0, 0
38, 0.00000, 12.0583, 5.42912, 12.0583, 5.42754, 12.0595, 5.42867, 0, 0
39, 0.00000, 12.274, 5.5501, 12.2741, 5.54845, 12.2752, 5.54963, 0, 0
40, 0.00000, 12.114, 5.46511, 12.1141, 5.46351, 12.1152, 5.46466, 0, 0
41, 0.00000, 12.3938, 5.60863, 12.3939, 5.60695, 12.3951, 5.60815, 0, 0
42, 0.00000, 13.0407, 5.94695, 13.0408, 5.94507, 13.0422, 5.94641, 0, 0
43, 0.00000, 15.2802, 7.26117, 15.2803, 7.2585, 15.2822, 7.2604, 0, 0
44, 0.00000, 15.7041, 7.53499, 15.7043, 7.53215, 15.7063, 7.53417, 0, 0
45, 0.00000, 15.4157, 7.35344, 15.4158, 7.35071, 15.4178, 7.35265, 0, 0
46, 0.00000, 14.6326, 6.86688, 14.6327, 6.86446, 14.6344, 6.86619, 0, 0
47, 0.00000, 13.0909, 5.95998, 13.091, 5.95809, 13.0923, 5.95944, 0, 0
48, 0.00000, 11.9469, 5.33195, 11.947, 5.3304, 11.9481, 5.33151, 0, 0
48, 0.00000, 11.9469, 5.33195, 11.947, 5.3304, 11.9481, 5.33151, 0, 0
