hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0.271114, 0.101472, 0, 0
2, 0.00000, 0.251941, 0.0920515, 0, 0
3, 0.00000, 0.238503, 0.0855858, 0, 0
4, 0.00000, 0.235713, 0.0842674, 0, 0
5, 0.00000, 0.233901, 0.0833777, 0, 0
6, 0.00000, 0.242612, 0.0875208, 0, 0
7, 0.00000, 0.257603, 0.0950411, 0, 0
8, 0.00000, 0.254708, 0.0939339, 0, 0
9, 0.00000, 0.269078, 0.101498, 0, 0
10, 0.00000, 0.291026, 0.113151, 0, 0
11, 0.00000, 0.297749, 0.116834, 0, 0
12, 0.00000, 0.31753, 0.127308, 0, 0
13, 0.00000, 0.33319, 0.135949, 0, 0
14, 0.00000, 0.317711, 0.127552, 0, 0
15, 0.00000, 0.321265, 0.129388, 0, 0
16, 0.00000, 0.315754, 0.126147, 0, 0
17, 0.00000, 0.319228, 0.127389, 0, 0
18, 0.00000, 0.331746, 0.133473, 0, 0
19, 0.00000, 0.381729, 0.162328, 0, 0
20, 0.00000, 0.391202, 0.168348, 0, 0
21, 0.00000, 0.384761, 0.164371, 0, 0
22, 0.00000, 0.367275, 0.153685, 0, 0
23, 0.00000, 0.332865, 0.133737, 0, 0
24, 0.00000, 0.30734, 0.119907, 0, 0
25, 0.00000, 0.27111, 0.101475, 0, 0
26, 0.00000, 0.251941, 0.0920515, 0, 0
27, 0.00000, 0.238503, 0.0855858, 0, 0
28, 0.00000, 0.235713, 0.0842674, 0, 0
29, 0.00000, 0.233901, 0.0833777, 0, 0
30, 0.00000, 0.242612, 0.0875208, 0, 0
31, 0.00000, 0.257603, 0.0950411, 0, 0
32, 0.00000, 0.254708, 0.0939339, 0, 0
33, 0.00000, 0.269078, 0.101498, 0, 0
34, 0.00000, 0.291026, 0.113151, 0, 0
35, 0.00000, 0.297749, 0.116834, 0, 0
36, 0.00000, 0.31753, 0.127308, 0, 0
37, 0.00000, 0.33319, 0.135949, 0, 0
38, 0.00000, 0.317711, 0.127552, 0, 0
39, 0.00000, 0.321265, 0.129388, 0, 0
40, 0.00000, 0.315754, 0.126147, 0, 0
41, 0.00000, 0.319228, 0.127389, 0, 0
42, 0.00000, 0.331746, 0.133473, 0, 0
43, 0.00000, 0.381729, 0.162328, 0, 0
44, 0.00000, 0.391202, 0.168348, 0, 0
45, 0.00000, 0.384761, 0.164371, 0, 0
46, 0.00000, 0.367275, 0.153685, 0, 0
47, 0.00000, 0.332865, 0.133737, 0, 0
48, 0.00000, 0.30734, 0.119907, 0, 0
48, 0.00000, 0.30734, 0.119907, 0, 0
