hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 15.5783, 6.85531, 15.5784, 6.85357, 15.5797, 6.85484, 0, 0
2, 0.00000, 14.3004, 6.21187, 14.3005, 6.21042, 14.3015, 6.21149, 0, 0
3, 0.00000, 13.3994, 5.76889, 13.3995, 5.76762, 13.4004, 5.76855, 0, 0
4, 0.00000, 13.2136, 5.66768, 13.2137, 5.66645, 13.2145, 5.66735, 0, 0
5, 0.00000, 13.0909, 5.60991, 13.091, 5.60871, 13.0918, 5.60959, 0, 0
6, 0.00000, 11.1714, 5.78582, 11.1715, 5.78471, 11.1722, 5.78556, 0, 0
7, 0.00000, 0.626887, 6.06198, 0.627302, 6.06172, 0.627192, 6.06219, 0, 0
8, 0.00000, -17.9221, 6.75568, -17.9212, 6.75699, -17.9228, 6.75677, 0, 0
9, 0.00000, -31.2889, 8.62465, -31.2873, 8.62716, -31.2903, 8.62659, 0, 0
10, 0.00000, -39.5977, 10.608, -39.5954, 10.6115, -39.5996, 10.6107, 0, 0
11, 0.00000, -43.3848, 11.5036, -43.3822, 11.5075, -43.3869, 11.5067, 0, 0
12, 0.00000, -41.3898, 11.8492, -41.3871, 11.8532, -41.392, 11.8525, 0, 0
13, 0.00000, -33.8126, 11.2022, -33.8101, 11.2056, -33.8144, 11.2052, 0, 0
14, 0.00000, -26.7562, 9.74641, -26.7543, 9.74891, -26.7575, 9.74861, 0, 0
15, 0.00000, -15.9433, 8.83449, -15.9419, 8.83587, -15.9439, 8.83596, 0, 0
16, 0.00000, -4.71247, 8.05667, -4.71156, 8.05682, -4.71233, 8.05737, 0, 0
17, 0.00000, 10.2662, 8.16098, 10.2666, 8.1594, 10.2675, 8.16077, 0, 0
18, 0.00000, 19.5867, 9.03283, 19.5869, 9.02995, 19.5889, 9.03206, 0, 0
19, 0.00000, 22.8303, 10.9815, 22.8306, 10.9774, 22.8335, 10.9804, 0, 0
20, 0.00000, 23.4415, 11.3793, 23.4418, 11.375, 23.4449, 11.3782, 0, 0
21, 0.00000, 23.0241, 11.1198, 23.0244, 11.1156, 23.0273, 11.1186, 0, 0
22, 0.00000, 21.8969, 10.4075, 21.8971, 10.4038, 21.8997, 10.4065, 0, 0
23, 0.00000, 19.6565, 9.06222, 19.6567, 9.05932, 19.6588, 9.06144, 0, 0
24, 0.00000, 17.9811, 8.11699, 17.9813, 8.11462, 17.983, 8.11636, 0, 0
25, 0.00000, 15.5806, 6.84958, 15.5807, 6.84783, 15.582, 6.84911, 0, 0
26, 0.00000, 14.3004, 6.21187, 14.3005, 6.21042, 14.3015, 6.21148, 0, 0
27, 0.00000, 13.3994, 5.76889, 13.3995, 5.76762, 13.4004, 5.76855, 0, 0
28, 0.00000, 13.2136, 5.66768, 13.2137, 5.66645, 13.2145, 5.66735, 0, 0
29, 0.00000, 13.0909, 5.60991, 13.091, 5.60871, 13.0918, 5.60959, 0, 0
30, 0.00000, 11.1714, 5.78582, 11.1715, 5.78471, 11.1722, 5.78556, 0, 0
31, 0.00000, 0.626887, 6.06198, 0.627302, 6.06172, 0.627192, 6.06219, 0, 0
32, 0.00000, -17.9221, 6.75568, -17.9212, 6.75699, -17.9228, 6.75677, 0, 0
33, 0.00000, -31.2889, 8.62465, -31.2873, 8.62716, -31.2903, 8.62659, 0, 0
34, 0.00000, -39.5977, 10.608, -39.5954, 10.6115, -39.5996, 10.6107, 0, 0
35, 0.00000, -43.3848, 11.5036, -43.3822, 11.5075, -43.3869, 11.5067, 0, 0
36, 0.00000, -41.3898, 11.8492, -41.3871, 11.8532, -41.392, 11.8525, 0, 0
37, 0.00000, -33.8126, 11.2022, -33.8101, 11.2056, -33.8144, 11.2052, 0, 0
38, 0.00000, -26.7562, 9.74641, -26.7543, 9.74891, -26.7575, 9.74861, 0, 0
39, 0.00000, -15.9433, 8.83449, -15.9419, 8.83587, -15.9439, 8.83596, 0, 0
40, 0.00000, -4.71247, 8.05667, -4.71156, 8.05682, -4.71233, 8.05737, 0, 0
41, 0.00000, 10.2662, 8.16098, 10.2666, 8.1594, 10.2675, 8.16077, 0, 0
42, 0.00000, 19.5867, 9.03283, 19.5869, 9.02995, 19.5889, 9.03206, 0, 0
43, 0.00000, 22.8303, 10.9815, 22.8306, 10.9774, 22.8335, 10.9804, 0, 0
44, 0.00000, 23.4415, 11.3793, 23.4418, 11.375, 23.4449, 11.3782, 0, 0
45, 0.00000, 23.0241, 11.1198, 23.0244, 11.1156, 23.0273, 11.1186, 0, 0
46, 0.00000, 21.8969, 10.4075, 21.8971, 10.4038, 21.8997, 10.4065, 0, 0
47, 0.00000, 19.6565, 9.06222, 19.6567, 9.05932, 19.6588, 9.06144, 0, 0
48, 0.00000, 17.9811, 8.11699, 17.9813, 8.11462, 17.983, 8.11636, 0, 0
48, 0.00000, 17.9811, 8.11699, 17.9813, 8.11462, 17.983, 8.11636, 0, 0
