hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 1.08019, 0.472955, 0, 0
2, 0.00000, 0.991551, 0.426712, 0, 0
3, 0.00000, 0.929671, 0.395255, 0, 0
4, 0.00000, 0.916854, 0.388856, 0, 0
5, 0.00000, 0.908526, 0.38456, 0, 0
6, 0.00000, 0.94749, 0.404095, 0, 0
7, 0.00000, 1.01166, 0.437996, 0, 0
8, 0.00000, 0.991948, 0.429087, 0, 0
9, 0.00000, 1.0535, 0.463002, 0, 0
10, 0.00000, 1.15151, 0.51751, 0, 0
11, 0.00000, 1.18138, 0.53466, 0, 0
12, 0.00000, 1.27238, 0.585597, 0, 0
13, 0.00000, 1.34643, 0.629027, 0, 0
14, 0.00000, 1.27733, 0.589406, 0, 0
15, 0.00000, 1.29757, 0.600917, 0, 0
16, 0.00000, 1.27683, 0.588082, 0, 0
17, 0.00000, 1.30023, 0.599135, 0, 0
18, 0.00000, 1.36391, 0.633384, 0, 0
19, 0.00000, 1.60211, 0.782846, 0, 0
20, 0.00000, 1.64777, 0.814475, 0, 0
21, 0.00000, 1.61675, 0.793539, 0, 0
22, 0.00000, 1.53271, 0.737551, 0, 0
23, 0.00000, 1.36912, 0.634824, 0, 0
24, 0.00000, 1.24904, 0.564795, 0, 0
25, 0.00000, 1.0802, 0.472956, 0, 0
26, 0.00000, 0.991551, 0.426712, 0, 0
27, 0.00000, 0.929671, 0.395255, 0, 0
28, 0.00000, 0.916854, 0.388856, 0, 0
29, 0.00000, 0.908526, 0.38456, 0, 0
30, 0.00000, 0.94749, 0.404095, 0, 0
31, 0.00000, 1.01166, 0.437996, 0, 0
32, 0.00000, 0.991948, 0.429087, 0, 0
33, 0.00000, 1.0535, 0.463002, 0, 0
34, 0.00000, 1.15151, 0.51751, 0, 0
35, 0.00000, 1.18138, 0.53466, 0, 0
36, 0.00000, 1.27238, 0.585597, 0, 0
37, 0.00000, 1.34643, 0.629027, 0, 0
38, 0.00000, 1.27733, 0.589406, 0, 0
39, 0.00000, 1.29757, 0.600917, 0, 0
40, 0.00000, 1.27683, 0.588082, 0, 0
41, 0.00000, 1.30023, 0.599135, 0, 0
42, 0.00000, 1.36391, 0.633384, 0, 0
43, 0.00000, 1.60211, 0.782846, 0, 0
44, 0.00000, 1.64777, 0.814475, 0, 0
45, 0.00000, 1.61675, 0.793539, 0, 0
46, 0.00000, 1.53271, 0.737551, 0, 0
47, 0.00000, 1.36912, 0.634824, 0, 0
48, 0.00000, 1.24904, 0.564795, 0, 0
48, 0.00000, 1.24904, 0.564795, 0, 0
