hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 10.1619, 4.34965, 10.162, 4.34851, 10.1628, 4.34933, 0, 0
2, 0.00000, 9.32708, 3.94655, 9.32714, 3.9456, 9.3278, 3.94629, 0, 0
3, 0.00000, 8.73962, 3.66991, 8.73968, 3.66909, 8.74025, 3.66969, 0, 0
4, 0.00000, 8.61713, 3.614, 8.61718, 3.6132, 8.61774, 3.61378, 0, 0
5, 0.00000, 8.53789, 3.57586, 8.53794, 3.57507, 8.53848, 3.57564, 0, 0
6, 0.00000, 8.92974, 3.76528, 8.92979, 3.76442, 8.93039, 3.76504, 0, 0
7, 0.00000, 9.63241, 4.14352, 9.63246, 4.14254, 9.63315, 4.14324, 0, 0
8, 0.00000, 9.56396, 4.16486, 9.56398, 4.16392, 9.56466, 4.16458, 0, 0
9, 0.00000, 10.2428, 4.54624, 10.2428, 4.54517, 10.2436, 4.5459, 0, 0
10, 0.00000, 11.2471, 5.09652, 11.2471, 5.09523, 11.2481, 5.0961, 0, 0
11, 0.00000, 11.5572, 5.27351, 11.5572, 5.27214, 11.5582, 5.27306, 0, 0
12, 0.00000, 12.4374, 5.746, 12.4374, 5.7444, 12.4386, 5.74547, 0, 0
13, 0.00000, 13.1132, 6.11392, 13.1132, 6.11211, 13.1145, 6.11333, 0, 0
14, 0.00000, 12.4007, 5.70804, 12.4008, 5.70642, 12.4019, 5.70752, 0, 0
15, 0.00000, 12.5178, 5.74517, 12.5178, 5.74349, 12.5191, 5.74465, 0, 0
16, 0.00000, 12.2248, 5.54517, 12.2248, 5.54355, 12.226, 5.54469, 0, 0
17, 0.00000, 12.2968, 5.51087, 12.2969, 5.50919, 12.2981, 5.51039, 0, 0
18, 0.00000, 12.7798, 5.70843, 12.7799, 5.70656, 12.7812, 5.70791, 0, 0
19, 0.00000, 14.9061, 6.91845, 14.9063, 6.9158, 14.9082, 6.91771, 0, 0
20, 0.00000, 15.3057, 7.16806, 15.3059, 7.16523, 15.3079, 7.16727, 0, 0
21, 0.00000, 15.0341, 7.00269, 15.0342, 6.99998, 15.0361, 7.00194, 0, 0
22, 0.00000, 14.295, 6.55816, 14.2951, 6.55575, 14.2968, 6.55749, 0, 0
23, 0.00000, 12.828, 5.72005, 12.8282, 5.71817, 12.8295, 5.71953, 0, 0
24, 0.00000, 11.7309, 5.13442, 11.731, 5.13287, 11.7321, 5.13399, 0, 0
25, 0.00000, 10.162, 4.34968, 10.1621, 4.34855, 10.1629, 4.34937, 0, 0
26, 0.00000, 9.32708, 3.94655, 9.32714, 3.9456, 9.3278, 3.94629, 0, 0
27, 0.00000, 8.73962, 3.66991, 8.73968, 3.66909, 8.74025, 3.66969, 0, 0
28, 0.00000, 8.61713, 3.614, 8.61718, 3.6132, 8.61774, 3.61378, 0, 0
29, 0.00000, 8.53789, 3.57586, 8.53794, 3.57507, 8.53848, 3.57564, 0, 0
30, 0.00000, 8.92974, 3.76528, 8.92979, 3.76442, 8.93039, 3.76504, 0, 0
31, 0.00000, 9.63241, 4.14352, 9.63246, 4.14254, 9.63315, 4.14324, 0, 0
32, 0.00000, 9.56396, 4.16486, 9.56398, 4.16392, 9.56466, 4.16458, 0, 0
33, 0.00000, 10.2428, 4.54624, 10.2428, 4.54517, 10.2436, 4.5459, 0, 0
34, 0.00000, 11.2471, 5.09652, 11.2471, 5.09523, 11.2481, 5.0961, 0, 0
35, 0.00000, 11.5572, 5.27351, 11.5572, 5.27214, 11.5582, 5.27306, 0, 0
36, 0.00000, 12.4374, 5.746, 12.4374, 5.7444, 12.4386, 5.74547, 0, 0
37, 0.00000, 13.1132, 6.11392, 13.1132, 6.11211, 13.1145, 6.11333, 0, 0
38, 0.00000, 12.4007, 5.70804, 12.4008, 5.70642, 12.4019, 5.70752, 0, 0
39, 0.00000, 12.5178, 5.74517, 12.5178, 5.74349, 12.5191, 5.74465, 0, 0
40, 0.00000, 12.2248, 5.54517, 12.2248, 5.54355, 12.226, 5.54469, 0, 0
41, 0.00000, 12.2968, 5.51087, 12.2969, 5.50919, 12.2981, 5.51039, 0, 0
42, 0.00000, 12.7798, 5.70843, 12.7799, 5.70656, 12.7812, 5.70791, 0, 0
43, 0.00000, 14.9061, 6.91845, 14.9063, 6.9158, 14.9082, 6.91771, 0, 0
44, 0.00000, 15.3057, 7.16806, 15.3059, 7.16523, 15.3079, 7.16727, 0, 0
45, 0.00000, 15.0341, 7.00269, 15.0342, 6.99998, 15.0361, 7.00194, 0, 0
46, 0.00000, 14.295, 6.55816, 14.2951, 6.55575, 14.2968, 6.55749, 0, 0
47, 0.00000, 12.828, 5.72005, 12.8282, 5.71817, 12.8295, 5.71953, 0, 0
48, 0.00000, 11.7309, 5.13442, 11.731, 5.13287, 11.7321, 5.13399, 0, 0
48, 0.00000, 11.7309, 5.13442, 11.731, 5.13287, 11.7321, 5.13399, 0, 0
