hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 1.08235, 0.474659, 0, 0
2, 0.00000, 0.993316, 0.428104, 0, 0
3, 0.00000, 0.931206, 0.396442, 0, 0
4, 0.00000, 0.918379, 0.389992, 0, 0
5, 0.00000, 0.909977, 0.38564, 0, 0
6, 0.00000, 0.948377, 0.404788, 0, 0
7, 0.00000, 1.00981, 0.436553, 0, 0
8, 0.00000, 0.986644, 0.424958, 0, 0
9, 0.00000, 1.04598, 0.457066, 0, 0
10, 0.00000, 1.14232, 0.510085, 0, 0
11, 0.00000, 1.17164, 0.526734, 0, 0
12, 0.00000, 1.26553, 0.579881, 0, 0
13, 0.00000, 1.33938, 0.623054, 0, 0
14, 0.00000, 1.27124, 0.584312, 0, 0
15, 0.00000, 1.29227, 0.596463, 0, 0
16, 0.00000, 1.27292, 0.584818, 0, 0
17, 0.00000, 1.30021, 0.599133, 0, 0
18, 0.00000, 1.36752, 0.636461, 0, 0
19, 0.00000, 1.60745, 0.787679, 0, 0
20, 0.00000, 1.65344, 0.819666, 0, 0
21, 0.00000, 1.62217, 0.798466, 0, 0
22, 0.00000, 1.5374, 0.741746, 0, 0
23, 0.00000, 1.37273, 0.637939, 0, 0
24, 0.00000, 1.25198, 0.567245, 0, 0
25, 0.00000, 1.08234, 0.474664, 0, 0
26, 0.00000, 0.993316, 0.428104, 0, 0
27, 0.00000, 0.931206, 0.396442, 0, 0
28, 0.00000, 0.918379, 0.389992, 0, 0
29, 0.00000, 0.909977, 0.38564, 0, 0
30, 0.00000, 0.948377, 0.404788, 0, 0
31, 0.00000, 1.00981, 0.436553, 0, 0
32, 0.00000, 0.986644, 0.424958, 0, 0
33, 0.00000, 1.04598, 0.457066, 0, 0
34, 0.00000, 1.14232, 0.510085, 0, 0
35, 0.00000, 1.17164, 0.526734, 0, 0
36, 0.00000, 1.26186, 0.576838, 0, 0
37, 0.00000, 1.33589, 0.620104, 0, 0
38, 0.00000, 1.26837, 0.58191, 0, 0
39, 0.00000, 1.29034, 0.594845, 0, 0
40, 0.00000, 1.27234, 0.584331, 0, 0
41, 0.00000, 1.30022, 0.599132, 0, 0
42, 0.00000, 1.36752, 0.636461, 0, 0
43, 0.00000, 1.60745, 0.787679, 0, 0
44, 0.00000, 1.65344, 0.819666, 0, 0
45, 0.00000, 1.62217, 0.798466, 0, 0
46, 0.00000, 1.5374, 0.741746, 0, 0
47, 0.00000, 1.37273, 0.637939, 0, 0
48, 0.00000, 1.25198, 0.567245, 0, 0
48, 0.00000, 1.25198, 0.567245, 0, 0
