hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 15.7512, 6.97137, 15.7513, 6.96964, 15.7525, 6.97089, 0, 0
2, 0.00000, 14.4298, 6.29322, 14.4299, 6.29178, 14.4309, 6.29282, 0, 0
3, 0.00000, 13.5022, 5.83138, 13.5023, 5.83012, 13.5032, 5.83103, 0, 0
4, 0.00000, 13.3111, 5.73871, 13.3111, 5.73749, 13.312, 5.73837, 0, 0
5, 0.00000, 13.1848, 5.67621, 13.1849, 5.67501, 13.1858, 5.67588, 0, 0
6, 0.00000, 11.2859, 5.84218, 11.286, 5.84107, 11.2867, 5.84191, 0, 0
7, 0.00000, 0.783475, 6.0669, 0.783879, 6.06663, 0.783789, 6.0671, 0, 0
8, 0.00000, -17.7049, 6.64703, -17.7039, 6.64832, -17.7056, 6.6481, 0, 0
9, 0.00000, -30.9864, 8.43567, -30.9849, 8.43818, -30.9878, 8.43756, 0, 0
10, 0.00000, -39.2234, 10.3751, -39.2213, 10.3786, -39.2254, 10.3778, 0, 0
11, 0.00000, -43.0084, 11.2574, -43.006, 11.2613, -43.0107, 11.2604, 0, 0
12, 0.00000, -40.8847, 11.6505, -40.8821, 11.6544, -40.8869, 11.6536, 0, 0
13, 0.00000, -33.3063, 11.0552, -33.3038, 11.0585, -33.308, 11.058, 0, 0
14, 0.00000, -26.3294, 9.63896, -26.3276, 9.6414, -26.3307, 9.6411, 0, 0
15, 0.00000, -15.5831, 8.79848, -15.5817, 8.7998, -15.5837, 8.7999, 0, 0
16, 0.00000, -4.4298, 8.08273, -4.42891, 8.08284, -4.42963, 8.0834, 0, 0
17, 0.00000, 10.5443, 8.3176, 10.5447, 8.316, 10.5456, 8.31736, 0, 0
18, 0.00000, 19.9223, 9.29868, 19.9225, 9.29582, 19.9245, 9.29787, 0, 0
19, 0.00000, 23.3598, 11.4324, 23.36, 11.4283, 23.3629, 11.4312, 0, 0
20, 0.00000, 24.0074, 11.8771, 24.0076, 11.8727, 24.0107, 11.8758, 0, 0
21, 0.00000, 23.5652, 11.5847, 23.5654, 11.5805, 23.5684, 11.5835, 0, 0
22, 0.00000, 22.3632, 10.7872, 22.3633, 10.7835, 22.366, 10.7862, 0, 0
23, 0.00000, 20.0003, 9.31898, 20.0005, 9.3161, 20.0025, 9.31817, 0, 0
24, 0.00000, 18.2449, 8.30747, 18.245, 8.30511, 18.2467, 8.3068, 0, 0
25, 0.00000, 15.7516, 6.96968, 15.7517, 6.96795, 15.7529, 6.9692, 0, 0
26, 0.00000, 14.4298, 6.29322, 14.4299, 6.29178, 14.4309, 6.29282, 0, 0
27, 0.00000, 13.5022, 5.83138, 13.5023, 5.83012, 13.5032, 5.83103, 0, 0
28, 0.00000, 13.3111, 5.73871, 13.3111, 5.73749, 13.312, 5.73837, 0, 0
29, 0.00000, 13.1848, 5.67621, 13.1849, 5.67501, 13.1858, 5.67588, 0, 0
30, 0.00000, 11.2859, 5.84218, 11.286, 5.84107, 11.2867, 5.84191, 0, 0
31, 0.00000, 0.783475, 6.0669, 0.783879, 6.06663, 0.783789, 6.0671, 0, 0
32, 0.00000, -17.7049, 6.64703, -17.7039, 6.64832, -17.7056, 6.6481, 0, 0
33, 0.00000, -30.9864, 8.43567, -30.9849, 8.43818, -30.9878, 8.43756, 0, 0
34, 0.00000, -39.2234, 10.3751, -39.2213, 10.3786, -39.2254, 10.3778, 0, 0
35, 0.00000, -43.0084, 11.2574, -43.006, 11.2613, -43.0107, 11.2604, 0, 0
36, 0.00000, -41.0144, 11.6013, -41.0118, 11.6053, -41.0166, 11.6045, 0, 0
37, 0.00000, -33.4327, 10.9877, -33.4303, 10.991, -33.4345, 10.9905, 0, 0
38, 0.00000, -26.4357, 9.57354, -26.4339, 9.57602, -26.437, 9.57568, 0, 0
39, 0.00000, -15.6542, 8.74174, -15.6528, 8.74309, -15.6548, 8.74318, 0, 0
40, 0.00000, -4.45239, 8.06028, -4.4515, 8.0604, -4.45223, 8.06096, 0, 0
41, 0.00000, 10.543, 8.31836, 10.5434, 8.31676, 10.5443, 8.31812, 0, 0
42, 0.00000, 19.9223, 9.29868, 19.9225, 9.29582, 19.9245, 9.29787, 0, 0
43, 0.00000, 23.3598, 11.4324, 23.36, 11.4283, 23.3629, 11.4312, 0, 0
44, 0.00000, 24.0074, 11.8771, 24.0076, 11.8727, 24.0107, 11.8758, 0, 0
45, 0.00000, 23.5652, 11.5847, 23.5654, 11.5805, 23.5684, 11.5835, 0, 0
46, 0.00000, 22.3632, 10.7872, 22.3633, 10.7835, 22.366, 10.7862, 0, 0
47, 0.00000, 20.0003, 9.31898, 20.0005, 9.3161, 20.0025, 9.31817, 0, 0
48, 0.00000, 18.2449, 8.30747, 18.245, 8.30511, 18.2467, 8.3068, 0, 0
48, 0.00000, 18.2449, 8.30747, 18.245, 8.30511, 18.2467, 8.3068, 0, 0
