hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0.273942, 0.103285, 0, 0
2, 0.00000, 0.254316, 0.0935249, 0, 0
3, 0.00000, 0.240596, 0.0868471, 0, 0
4, 0.00000, 0.237787, 0.0854933, 0, 0
5, 0.00000, 0.235885, 0.0845396, 0, 0
6, 0.00000, 0.244569, 0.0887012, 0, 0
7, 0.00000, 0.259074, 0.0959578, 0, 0
8, 0.00000, 0.255182, 0.094225, 0, 0
9, 0.00000, 0.269228, 0.101594, 0, 0
10, 0.00000, 0.2912, 0.113265, 0, 0
11, 0.00000, 0.297943, 0.116978, 0, 0
12, 0.00000, 0.322743, 0.13089, 0, 0
13, 0.00000, 0.338364, 0.139595, 0, 0
14, 0.00000, 0.322128, 0.130609, 0, 0
15, 0.00000, 0.324978, 0.131976, 0, 0
16, 0.00000, 0.318389, 0.127971, 0, 0
17, 0.00000, 0.32245, 0.129641, 0, 0
18, 0.00000, 0.336246, 0.136686, 0, 0
19, 0.00000, 0.388089, 0.167255, 0, 0
20, 0.00000, 0.397904, 0.173615, 0, 0
21, 0.00000, 0.391204, 0.16939, 0, 0
22, 0.00000, 0.372952, 0.157987, 0, 0
23, 0.00000, 0.337375, 0.13696, 0, 0
24, 0.00000, 0.311071, 0.122465, 0, 0
25, 0.00000, 0.273932, 0.103291, 0, 0
26, 0.00000, 0.254316, 0.0935249, 0, 0
27, 0.00000, 0.240596, 0.0868471, 0, 0
28, 0.00000, 0.237787, 0.0854933, 0, 0
29, 0.00000, 0.235885, 0.0845396, 0, 0
30, 0.00000, 0.244569, 0.0887012, 0, 0
31, 0.00000, 0.259074, 0.0959578, 0, 0
32, 0.00000, 0.255182, 0.094225, 0, 0
33, 0.00000, 0.269228, 0.101594, 0, 0
34, 0.00000, 0.2912, 0.113265, 0, 0
35, 0.00000, 0.297943, 0.116978, 0, 0
36, 0.00000, 0.317933, 0.127584, 0, 0
37, 0.00000, 0.333906, 0.136451, 0, 0
38, 0.00000, 0.318455, 0.128065, 0, 0
39, 0.00000, 0.322555, 0.130291, 0, 0
40, 0.00000, 0.317669, 0.127478, 0, 0
41, 0.00000, 0.322452, 0.129639, 0, 0
42, 0.00000, 0.336246, 0.136686, 0, 0
43, 0.00000, 0.388089, 0.167255, 0, 0
44, 0.00000, 0.397904, 0.173615, 0, 0
45, 0.00000, 0.391204, 0.16939, 0, 0
46, 0.00000, 0.372952, 0.157987, 0, 0
47, 0.00000, 0.337375, 0.13696, 0, 0
48, 0.00000, 0.311071, 0.122465, 0, 0
48, 0.00000, 0.311071, 0.122465, 0, 0
