hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 6.30393, 2.63846, 6.30395, 2.63776, 6.30445, 2.63825, 0, 0
2, 0.00000, 5.77848, 2.38927, 5.7785, 2.3887, 5.77892, 2.3891, 0, 0
3, 0.00000, 5.41058, 2.21868, 5.4106, 2.21818, 5.41096, 2.21853, 0, 0
4, 0.00000, 5.33522, 2.18419, 5.33524, 2.1837, 5.33559, 2.18405, 0, 0
5, 0.00000, 5.28426, 2.15954, 5.28428, 2.15906, 5.28462, 2.1594, 0, 0
6, 0.00000, 5.51622, 2.26648, 5.51624, 2.26595, 5.51662, 2.26632, 0, 0
7, 0.00000, 5.90074, 2.45468, 5.90076, 2.45408, 5.90119, 2.4545, 0, 0
8, 0.00000, 5.79068, 2.41401, 5.7907, 2.41344, 5.79111, 2.41383, 0, 0
9, 0.00000, 6.16375, 2.60514, 6.16376, 2.6045, 6.16423, 2.60494, 0, 0
10, 0.00000, 6.75018, 2.90558, 6.75019, 2.90481, 6.75076, 2.90534, 0, 0
11, 0.00000, 6.9298, 3.00136, 6.92981, 3.00054, 6.93042, 3.0011, 0, 0
12, 0.00000, 7.60315, 3.38796, 7.60313, 3.38698, 7.60387, 3.38763, 0, 0
13, 0.00000, 8.01948, 3.6059, 8.01947, 3.6048, 8.0203, 3.60553, 0, 0
14, 0.00000, 7.58429, 3.3683, 7.58428, 3.36732, 7.58502, 3.36798, 0, 0
15, 0.00000, 7.65952, 3.39244, 7.65952, 3.39142, 7.66027, 3.39211, 0, 0
16, 0.00000, 7.48371, 3.2772, 7.48373, 3.27621, 7.48445, 3.27689, 0, 0
17, 0.00000, 7.59485, 3.31154, 7.59488, 3.31051, 7.59562, 3.31123, 0, 0
18, 0.00000, 7.964, 3.48817, 7.96403, 3.48702, 7.96487, 3.48782, 0, 0
19, 0.00000, 9.33572, 4.26144, 9.33576, 4.25981, 9.33695, 4.26095, 0, 0
20, 0.00000, 9.59417, 4.42101, 9.59421, 4.41927, 9.59548, 4.42048, 0, 0
21, 0.00000, 9.4177, 4.31471, 9.41773, 4.31305, 9.41895, 4.3142, 0, 0
22, 0.00000, 8.93599, 4.02717, 8.93602, 4.02569, 8.9371, 4.02672, 0, 0
23, 0.00000, 7.99405, 3.49535, 7.99408, 3.4942, 7.99492, 3.495, 0, 0
24, 0.00000, 7.29462, 3.1271, 7.29465, 3.12615, 7.29533, 3.12682, 0, 0
25, 0.00000, 6.30355, 2.63865, 6.30358, 2.63796, 6.30407, 2.63845, 0, 0
26, 0.00000, 5.77849, 2.38927, 5.77851, 2.3887, 5.77892, 2.3891, 0, 0
27, 0.00000, 5.41058, 2.21868, 5.4106, 2.21818, 5.41096, 2.21853, 0, 0
28, 0.00000, 5.33522, 2.18419, 5.33524, 2.1837, 5.33559, 2.18405, 0, 0
29, 0.00000, 5.28426, 2.15954, 5.28428, 2.15906, 5.28462, 2.1594, 0, 0
30, 0.00000, 5.51622, 2.26648, 5.51624, 2.26595, 5.51662, 2.26632, 0, 0
31, 0.00000, 5.90074, 2.45468, 5.90076, 2.45408, 5.90119, 2.4545, 0, 0
32, 0.00000, 5.79068, 2.41401, 5.7907, 2.41344, 5.79111, 2.41383, 0, 0
33, 0.00000, 6.16375, 2.60514, 6.16376, 2.6045, 6.16423, 2.60494, 0, 0
34, 0.00000, 6.75018, 2.90558, 6.75019, 2.90481, 6.75076, 2.90534, 0, 0
35, 0.00000, 6.9298, 3.00136, 6.92981, 3.00054, 6.93042, 3.0011, 0, 0
36, 0.00000, 7.46375, 3.27254, 7.46376, 3.27158, 7.46447, 3.27224, 0, 0
37, 0.00000, 7.89034, 3.4975, 7.89035, 3.49641, 7.89115, 3.49715, 0, 0
38, 0.00000, 7.4799, 3.28129, 7.47991, 3.28031, 7.48062, 3.28099, 0, 0
39, 0.00000, 7.59115, 3.33549, 7.59116, 3.33448, 7.5919, 3.33517, 0, 0
40, 0.00000, 7.46364, 3.2607, 7.46366, 3.25972, 7.46437, 3.2604, 0, 0
41, 0.00000, 7.59491, 3.31148, 7.59493, 3.31046, 7.59568, 3.31117, 0, 0
42, 0.00000, 7.964, 3.48817, 7.96403, 3.48702, 7.96487, 3.48782, 0, 0
43, 0.00000, 9.33572, 4.26144, 9.33576, 4.25981, 9.33695, 4.26095, 0, 0
44, 0.00000, 9.59417, 4.42101, 9.59421, 4.41927, 9.59548, 4.42048, 0, 0
45, 0.00000, 9.4177, 4.31471, 9.41773, 4.31305, 9.41895, 4.3142, 0, 0
46, 0.00000, 8.93599, 4.02717, 8.93602, 4.02569, 8.9371, 4.02672, 0, 0
47, 0.00000, 7.99405, 3.49535, 7.99408, 3.4942, 7.99492, 3.495, 0, 0
48, 0.00000, 7.29462, 3.1271, 7.29465, 3.12615, 7.29533, 3.12682, 0, 0
48, 0.00000, 7.29462, 3.1271, 7.29465, 3.12615, 7.29533, 3.12682, 0, 0
