hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
1, 0.00000, 227.014, -120.863, 0.000524038, 148.21, 2.4747, 34.7179, 2.47471, -145.283
2, 0.00000, 227.388, -120.793, 0.000525268, 148.365, 2.25169, 35.014, 2.2517, -144.987
3, 0.00000, 227.645, -120.744, 0.00052611, 148.473, 2.09719, 35.2089, 2.09721, -144.792
4, 0.00000, 227.698, -120.734, 0.000526282, 148.496, 2.0654, 35.2485, 2.06541, -144.752
5, 0.00000, 227.732, -120.727, 0.000526396, 148.51, 2.04456, 35.28, 2.04457, -144.721
6, 0.00000, 227.576, -120.758, 0.000525887, 148.444, 2.13898, 35.1766, 2.13899, -144.824
7, 0.00000, 227.326, -120.805, 0.000525066, 148.339, 2.28933, 34.9834, 2.28934, -145.017
8, 0.00000, 227.428, -120.786, 0.0005254, 148.381, 2.22827, 35.0619, 2.22828, -144.939
9, 0.00000, 227.181, -120.831, 0.000524583, 148.28, 2.37471, 34.8227, 2.37473, -145.178
10, 0.00000, 226.77, -120.905, 0.000523225, 148.115, 2.61616, 34.4385, 2.61617, -145.562
11, 0.00000, 226.644, -120.927, 0.000522803, 148.065, 2.69003, 34.3146, 2.69005, -145.686
12, 0.00000, 226.253, -120.995, 0.000521509, 147.909, 2.91885, 34.001, 2.91887, -146
13, 0.00000, 225.92, -121.051, 0.0005204, 147.78, 3.11038, 33.6927, 3.11039, -146.308
14, 0.00000, 226.214, -121, 0.000521371, 147.896, 2.93971, 33.9114, 2.93973, -146.089
15, 0.00000, 226.111, -121.017, 0.000521026, 147.857, 2.99876, 33.8038, 2.99877, -146.197
16, 0.00000, 226.185, -121.005, 0.000521273, 147.886, 2.95553, 33.8635, 2.95554, -146.137
17, 0.00000, 226.057, -121.027, 0.000520851, 147.835, 3.03057, 33.7808, 3.03059, -146.22
18, 0.00000, 225.756, -121.079, 0.000519855, 147.716, 3.20574, 33.5741, 3.20575, -146.427
19, 0.00000, 224.616, -121.251, 0.000516023, 147.303, 3.84168, 32.4888, 3.8417, -147.512
20, 0.00000, 224.385, -121.281, 0.000515234, 147.226, 3.96756, 32.2337, 3.96758, -147.767
21, 0.00000, 224.537, -121.26, 0.000515754, 147.279, 3.88263, 32.39, 3.88264, -147.61
22, 0.00000, 224.96, -121.203, 0.000517182, 147.422, 3.65378, 32.822, 3.65379, -147.179
23, 0.00000, 225.738, -121.084, 0.000519803, 147.706, 3.21773, 33.6096, 3.21775, -146.391
24, 0.00000, 226.281, -120.993, 0.000521616, 147.915, 2.9052, 34.1166, 2.90521, -145.884
25, 0.00000, 227.014, -120.863, 0.000524038, 148.21, 2.47472, 34.7188, 2.47473, -145.282
26, 0.00000, 227.388, -120.793, 0.000525268, 148.365, 2.25169, 35.014, 2.2517, -144.987
27, 0.00000, 227.645, -120.744, 0.00052611, 148.473, 2.09719, 35.2089, 2.09721, -144.792
28, 0.00000, 227.698, -120.734, 0.000526282, 148.496, 2.0654, 35.2485, 2.06541, -144.752
29, 0.00000, 227.732, -120.727, 0.000526396, 148.51, 2.04456, 35.28, 2.04457, -144.721
30, 0.00000, 227.576, -120.758, 0.000525887, 148.444, 2.13898, 35.1766, 2.13899, -144.824
31, 0.00000, 227.326, -120.805, 0.000525066, 148.339, 2.28933, 34.9834, 2.28934, -145.017
32, 0.00000, 227.428, -120.786, 0.0005254, 148.381, 2.22827, 35.0619, 2.22828, -144.939
33, 0.00000, 227.181, -120.831, 0.000524583, 148.28, 2.37471, 34.8227, 2.37473, -145.178
34, 0.00000, 226.77, -120.905, 0.000523225, 148.115, 2.61616, 34.4385, 2.61617, -145.562
35, 0.00000, 226.644, -120.927, 0.000522803, 148.065, 2.69003, 34.3146, 2.69005, -145.686
36, 0.00000, 226.253, -120.995, 0.000521509, 147.909, 2.91885, 34.001, 2.91887, -146
37, 0.00000, 225.92, -121.051, 0.0005204, 147.78, 3.11038, 33.6927, 3.11039, -146.308
38, 0.00000, 226.214, -121, 0.000521371, 147.896, 2.93971, 33.9114, 2.93973, -146.089
39, 0.00000, 226.111, -121.017, 0.000521026, 147.857, 2.99876, 33.8038, 2.99877, -146.197
40, 0.00000, 226.185, -121.005, 0.000521273, 147.886, 2.95553, 33.8635, 2.95554, -146.137
41, 0.00000, 226.057, -121.027, 0.000520851, 147.835, 3.03057, 33.7808, 3.03059, -146.22
42, 0.00000, 225.756, -121.079, 0.000519855, 147.716, 3.20574, 33.5741, 3.20575, -146.427
43, 0.00000, 224.616, -121.251, 0.000516023, 147.303, 3.84168, 32.4888, 3.8417, -147.512
44, 0.00000, 224.385, -121.281, 0.000515234, 147.226, 3.96756, 32.2337, 3.96758, -147.767
45, 0.00000, 224.537, -121.26, 0.000515754, 147.279, 3.88263, 32.39, 3.88264, -147.61
46, 0.00000, 224.96, -121.203, 0.000517182, 147.422, 3.65378, 32.822, 3.65379, -147.179
47, 0.00000, 225.738, -121.084, 0.000519803, 147.706, 3.21773, 33.6096, 3.21775, -146.391
48, 0.00000, 226.281, -120.993, 0.000521616, 147.915, 2.9052, 34.1166, 2.90521, -145.884
48, 0.00000, 226.281, -120.993, 0.000521616, 147.915, 2.9052, 34.1166, 2.90521, -145.884
