hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 212.483, -34.8909, 212.482, -154.892, 212.48, 85.1088, 6.52776E-010, 87.8816, 104.743, 122.922, 104.743, 2.92115, 104.743, -117.078, 0.00111068, 97.5922
2, 0.00000, 214.156, -34.4596, 214.155, -154.46, 214.154, 85.5402, 5.41412E-010, 87.911, 95.3932, 123.437, 95.3932, 3.43625, 95.3931, -116.563, 0.000921267, 97.5565
3, 0.00000, 215.305, -34.1595, 215.305, -154.16, 215.303, 85.8403, 4.70376E-010, 87.9687, 88.9043, 123.785, 88.9043, 3.78464, 88.9042, -116.215, 0.000800308, 97.5222
4, 0.00000, 215.541, -34.0983, 215.54, -154.099, 215.539, 85.9015, 4.57298E-010, 87.969, 87.5767, 123.861, 87.5767, 3.86064, 87.5766, -116.139, 0.00077763, 97.5188
5, 0.00000, 215.697, -34.0579, 215.696, -154.059, 215.694, 85.9419, 4.47692E-010, 87.9362, 86.6985, 123.911, 86.6985, 3.91007, 86.6984, -116.089, 0.000761733, 97.5151
6, 0.00000, 214.999, -34.2418, 214.998, -154.242, 214.996, 85.758, 4.88807E-010, 88.0207, 90.6639, 123.704, 90.6638, 3.7033, 90.6637, -116.296, 0.000831046, 97.6083
7, 0.00000, 213.878, -34.5335, 213.877, -154.534, 213.875, 85.4662, 5.58866E-010, 88.0652, 96.9762, 123.361, 96.9762, 3.36062, 96.9761, -116.639, 0.000950418, 97.6621
8, 0.00000, 214.335, -34.4153, 214.334, -154.416, 214.332, 85.5845, 5.30469E-010, 87.9736, 94.4129, 123.503, 94.4129, 3.50242, 94.4128, -116.497, 0.000901794, 97.5847
9, 0.00000, 213.226, -34.6954, 213.225, -154.696, 213.223, 85.3044, 6.01109E-010, 88.0889, 100.55, 123.124, 100.55, 3.12384, 100.55, -116.875, 0.00102173, 97.7131
10, 0.00000, 211.389, -35.1567, 211.388, -155.157, 211.386, 84.8431, 7.28178E-010, 88.04, 110.651, 122.519, 110.651, 2.51795, 110.651, -117.481, 0.00123863, 97.7532
11, 0.00000, 210.822, -35.2971, 210.822, -155.298, 210.82, 84.7026, 7.70611E-010, 88.0131, 113.737, 122.331, 113.737, 2.33023, 113.737, -117.669, 0.00131043, 97.708
12, 0.00000, 209.078, -35.7368, 209.077, -155.738, 209.074, 84.263, 9.06974E-010, 87.8611, 123.293, 121.806, 123.293, 1.80504, 123.292, -118.194, 0.00154404, 97.618
13, 0.00000, 207.594, -36.1, 207.593, -156.101, 207.59, 83.8997, 1.03166E-009, 87.7683, 131.269, 121.334, 131.269, 1.3328, 131.269, -118.666, 0.00175598, 97.5146
14, 0.00000, 208.9, -35.7716, 208.899, -155.772, 208.896, 84.2281, 9.21414E-010, 87.8445, 124.154, 121.71, 124.154, 1.70956, 124.154, -118.29, 0.00156767, 97.5878
15, 0.00000, 208.439, -35.8822, 208.438, -155.883, 208.435, 84.1176, 9.58203E-010, 87.8636, 126.609, 121.553, 126.609, 1.55221, 126.609, -118.447, 0.00163042, 97.621
