hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
1, 0.00000, 227.43, -120.69, 0.000524999, 148.384, 2.4756, 34.8518, 2.47562, -145.149
2, 0.00000, 227.76, -120.637, 0.000526127, 148.523, 2.25241, 35.1356, 2.25242, -144.865
3, 0.00000, 227.988, -120.598, 0.000526902, 148.62, 2.09782, 35.3229, 2.09783, -144.678
4, 0.00000, 228.039, -120.588, 0.000527071, 148.643, 2.06597, 35.3621, 2.06598, -144.639
5, 0.00000, 228.061, -120.587, 0.000527155, 148.652, 2.04511, 35.3901, 2.04513, -144.611
6, 0.00000, 227.97, -120.592, 0.000526796, 148.611, 2.1397, 35.3069, 2.13971, -144.694
7, 0.00000, 227.966, -120.532, 0.000526543, 148.614, 2.29062, 35.1991, 2.29064, -144.802
8, 0.00000, 228.34, -120.363, 0.000527506, 148.807, 2.23005, 35.4025, 2.23006, -144.598
9, 0.00000, 228.315, -120.275, 0.000527201, 148.84, 2.3771, 35.2757, 2.37712, -144.725
10, 0.00000, 228.076, -120.248, 0.000526235, 148.777, 2.61924, 34.9756, 2.61926, -145.025
11, 0.00000, 228.014, -120.226, 0.000525963, 148.771, 2.69336, 34.8884, 2.69338, -145.112
12, 0.00000, 228.288, -119.806, 0.000526197, 149.107, 2.92434, 35.0006, 2.92436, -145
13, 0.00000, 227.876, -119.998, 0.000524904, 148.843, 3.11604, 34.5616, 3.11606, -145.439
14, 0.00000, 227.951, -120.111, 0.000525374, 148.794, 2.9444, 34.6374, 2.94442, -145.363
15, 0.00000, 227.557, -120.344, 0.000524358, 148.537, 3.00276, 34.3408, 3.00278, -145.66
16, 0.00000, 227.221, -120.564, 0.000523659, 148.332, 2.95833, 34.2069, 2.95834, -145.794
17, 0.00000, 226.746, -120.753, 0.000522439, 148.113, 3.03248, 33.9901, 3.0325, -146.01
18, 0.00000, 226.316, -120.859, 0.000521143, 147.939, 3.20741, 33.7412, 3.20743, -146.259
19, 0.00000, 225.323, -120.991, 0.000517647, 147.567, 3.8443, 32.6784, 3.84432, -147.322
20, 0.00000, 225.115, -121.018, 0.000516908, 147.493, 3.97039, 32.4244, 3.97041, -147.576
21, 0.00000, 225.249, -121.001, 0.000517389, 147.542, 3.8853, 32.578, 3.88532, -147.422
22, 0.00000, 225.612, -120.957, 0.000518679, 147.672, 3.65602, 33.0036, 3.65604, -146.997
23, 0.00000, 226.299, -120.864, 0.000521095, 147.929, 3.21937, 33.776, 3.21939, -146.225
24, 0.00000, 226.778, -120.795, 0.00052276, 148.116, 2.90647, 34.2682, 2.90648, -145.732
25, 0.00000, 227.431, -120.69, 0.000525, 148.384, 2.4756, 34.8515, 2.47561, -145.149
26, 0.00000, 227.76, -120.637, 0.000526127, 148.523, 2.25241, 35.1356, 2.25242, -144.865
27, 0.00000, 227.988, -120.598, 0.000526902, 148.62, 2.09782, 35.3229, 2.09783, -144.678
28, 0.00000, 228.039, -120.588, 0.000527071, 148.643, 2.06597, 35.3621, 2.06598, -144.639
29, 0.00000, 228.061, -120.587, 0.000527155, 148.652, 2.04511, 35.3901, 2.04513, -144.611
30, 0.00000, 227.97, -120.592, 0.000526796, 148.611, 2.1397, 35.3069, 2.13971, -144.694
31, 0.00000, 227.966, -120.532, 0.000526543, 148.614, 2.29062, 35.1991, 2.29064, -144.802
32, 0.00000, 228.34, -120.363, 0.000527506, 148.807, 2.23005, 35.4025, 2.23006, -144.598
33, 0.00000, 228.315, -120.275, 0.000527201, 148.84, 2.3771, 35.2757, 2.37712, -144.725
34, 0.00000, 228.076, -120.248, 0.000526235, 148.777, 2.61924, 34.9756, 2.61926, -145.025
35, 0.00000, 228.014, -120.226, 0.000525963, 148.771, 2.69336, 34.8884, 2.69338, -145.112
36, 0.00000, 227.676, -120.288, 0.000524788, 148.623, 2.92267, 34.5756, 2.92268, -145.425
37, 0.00000, 227.325, -120.389, 0.000523635, 148.45, 3.11443, 34.2224, 3.11445, -145.778
38, 0.00000, 227.473, -120.421, 0.000524272, 148.482, 2.9431, 34.3724, 2.94311, -145.628
39, 0.00000, 227.242, -120.524, 0.000523632, 148.356, 3.00188, 34.1905, 3.0019, -145.81
40, 0.00000, 227.123, -120.613, 0.000523435, 148.282, 2.95806, 34.1669, 2.95808, -145.834
41, 0.00000, 226.746, -120.753, 0.000522438, 148.113, 3.03249, 33.9904, 3.03251, -146.01
42, 0.00000, 226.316, -120.859, 0.000521143, 147.939, 3.20741, 33.7412, 3.20743, -146.259
43, 0.00000, 225.323, -120.991, 0.000517647, 147.567, 3.8443, 32.6784, 3.84432, -147.322
44, 0.00000, 225.115, -121.018, 0.000516908, 147.493, 3.97039, 32.4244, 3.97041, -147.576
45, 0.00000, 225.249, -121.001, 0.000517389, 147.542, 3.8853, 32.578, 3.88532, -147.422
46, 0.00000, 225.612, -120.957, 0.000518679, 147.672, 3.65602, 33.0036, 3.65604, -146.997
47, 0.00000, 226.299, -120.864, 0.000521095, 147.929, 3.21937, 33.776, 3.21939, -146.225
48, 0.00000, 226.778, -120.795, 0.00052276, 148.116, 2.90647, 34.2682, 2.90648, -145.732
48, 0.00000, 226.778, -120.795, 0.00052276, 148.116, 2.90647, 34.2682, 2.90648, -145.732
