hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 215.018, -33.4554, 215.018, -153.456, 215.016, 86.5444, 1.89207E-010, 86.6343, 30.0945, 124.43, 30.0945, 4.42938, 30.0944, -115.57, 0.000317236, 99.3275
2, 0.00000, 216.433, -33.1632, 216.432, -153.164, 216.43, 86.8366, 1.57426E-010, 86.1939, 27.4055, 124.83, 27.4055, 4.82948, 27.4054, -115.17, 0.000263536, 98.9925
3, 0.00000, 217.409, -32.9566, 217.409, -152.957, 217.407, 87.0432, 1.37048E-010, 85.8406, 25.5405, 125.104, 25.5404, 5.10316, 25.5404, -114.896, 0.000229409, 98.7181
4, 0.00000, 217.627, -32.9043, 217.626, -152.905, 217.624, 87.0955, 1.33198E-010, 85.8397, 25.1558, 125.168, 25.1558, 5.16716, 25.1558, -114.832, 0.000222654, 98.6616
5, 0.00000, 217.724, -32.8937, 217.724, -152.894, 217.722, 87.1061, 1.30679E-010, 85.7049, 24.9038, 125.197, 24.9038, 5.19629, 24.9037, -114.803, 0.000218342, 98.5696
6, 0.00000, 217.311, -32.9415, 217.31, -152.942, 217.308, 87.0583, 1.42072E-010, 86.0839, 26.0477, 125.105, 26.0477, 5.1044, 26.0476, -114.895, 0.000238014, 98.9071
7, 0.00000, 217.188, -32.7326, 217.187, -152.733, 217.186, 87.2672, 1.61046E-010, 87.0634, 27.8777, 125.169, 27.8776, 5.16855, 27.8776, -114.831, 0.000269904, 99.8058
8, 0.00000, 218.666, -32.0146, 218.665, -152.015, 218.664, 87.9852, 1.51299E-010, 87.8918, 27.1586, 125.816, 27.1585, 5.81581, 27.1585, -114.184, 0.000253531, 100.738
9, 0.00000, 218.47, -31.6935, 218.47, -151.694, 218.468, 88.3063, 1.7022E-010, 89.1079, 28.9389, 125.952, 28.9389, 5.95094, 28.9389, -114.048, 0.000285506, 101.854
10, 0.00000, 217.383, -31.6469, 217.383, -151.648, 217.381, 88.3529, 2.05043E-010, 90.1407, 31.8572, 125.774, 31.8572, 5.77284, 31.8572, -114.226, 0.000344143, 102.826
11, 0.00000, 217.095, -31.5796, 217.094, -151.58, 217.092, 88.4202, 2.16266E-010, 90.5536, 32.7495, 125.761, 32.7495, 5.76061, 32.7494, -114.239, 0.000363099, 103.202
12, 0.00000, 218.166, -29.8719, 218.165, -149.873, 218.163, 90.1279, 2.49529E-010, 94.0968, 35.5619, 127.105, 35.5618, 7.10384, 35.5618, -112.895, 0.000419216, 106.728
13, 0.00000, 216.377, -30.7142, 216.376, -150.715, 216.373, 89.2856, 2.83564E-010, 93.3513, 37.8473, 126.167, 37.8472, 6.16603, 37.8472, -113.833, 0.000477065, 105.926
