hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
1, 0.00000, 223.621, -121.07, 0.000345736, 148.618, 0.566688, 35.0733, 0.566697, -144.929
2, 0.00000, 224.292, -120.995, 0.000346856, 148.723, 0.515753, 35.3412, 0.515762, -144.661
3, 0.00000, 224.758, -120.938, 0.000347631, 148.801, 0.480467, 35.5225, 0.480476, -144.48
4, 0.00000, 224.874, -120.914, 0.000347822, 148.83, 0.473213, 35.57, 0.473222, -144.433
5, 0.00000, 224.893, -120.926, 0.000347859, 148.82, 0.468442, 35.5859, 0.468452, -144.417
6, 0.00000, 224.795, -120.881, 0.000347675, 148.853, 0.490091, 35.5536, 0.4901, -144.449
7, 0.00000, 225.205, -120.521, 0.000348254, 149.194, 0.524789, 35.7093, 0.524799, -144.293
8, 0.00000, 226.53, -119.853, 0.000350324, 149.871, 0.511324, 36.3242, 0.511333, -143.678
9, 0.00000, 226.853, -119.396, 0.000350769, 150.31, 0.545177, 36.5391, 0.545187, -143.463
10, 0.00000, 226.601, -119.127, 0.000350286, 150.547, 0.600659, 36.4846, 0.600668, -143.517
11, 0.00000, 226.573, -118.994, 0.000350214, 150.671, 0.61766, 36.5048, 0.61767, -143.497
12, 0.00000, 228.805, -116.738, 0.000353573, 152.901, 0.67178, 38.2773, 0.67179, -141.725
13, 0.00000, 227.62, -117.474, 0.000351664, 152.138, 0.715276, 37.3676, 0.715286, -142.634
14, 0.00000, 227.356, -118.115, 0.000351324, 151.519, 0.675673, 36.9453, 0.675683, -143.057
15, 0.00000, 225.832, -119.139, 0.000348945, 150.485, 0.68837, 35.9658, 0.68838, -144.036
16, 0.00000, 224.227, -120.185, 0.000346482, 149.442, 0.677468, 35.1247, 0.677477, -144.877
17, 0.00000, 222.533, -120.965, 0.000343837, 148.649, 0.693743, 34.4349, 0.693752, -145.567
18, 0.00000, 221.341, -121.317, 0.000341928, 148.271, 0.733266, 34.0175, 0.733275, -145.984
19, 0.00000, 219.325, -121.495, 0.000338548, 148.007, 0.877782, 33.0364, 0.877791, -146.965
20, 0.00000, 218.882, -121.54, 0.000337807, 147.945, 0.906314, 32.7953, 0.906324, -147.206
21, 0.00000, 219.162, -121.518, 0.000338276, 147.979, 0.887048, 32.9351, 0.887058, -147.066
22, 0.00000, 219.889, -121.465, 0.0003395, 148.063, 0.835082, 33.3218, 0.835092, -146.68
23, 0.00000, 221.299, -121.328, 0.000341862, 148.259, 0.736003, 34.0487, 0.736013, -145.953
24, 0.00000, 222.276, -121.233, 0.000343495, 148.397, 0.664817, 34.5073, 0.664827, -145.494
25, 0.00000, 223.624, -121.072, 0.000345742, 148.616, 0.566661, 35.0697, 0.566671, -144.932
26, 0.00000, 224.292, -120.995, 0.000346856, 148.723, 0.515753, 35.3412, 0.515763, -144.661
27, 0.00000, 224.758, -120.938, 0.000347631, 148.801, 0.480467, 35.5225, 0.480476, -144.48
28, 0.00000, 224.874, -120.914, 0.000347822, 148.83, 0.473213, 35.57, 0.473222, -144.433
29, 0.00000, 224.893, -120.926, 0.000347859, 148.82, 0.468442, 35.5859, 0.468452, -144.417
30, 0.00000, 224.795, -120.881, 0.000347675, 148.853, 0.490091, 35.5536, 0.4901, -144.449
31, 0.00000, 225.205, -120.521, 0.000348254, 149.194, 0.524789, 35.7093, 0.524799, -144.293
32, 0.00000, 226.53, -119.853, 0.000350324, 149.871, 0.511324, 36.3242, 0.511333, -143.678
33, 0.00000, 226.853, -119.396, 0.000350769, 150.31, 0.545177, 36.5391, 0.545187, -143.463
34, 0.00000, 226.601, -119.127, 0.000350286, 150.547, 0.600659, 36.4846, 0.600668, -143.517
35, 0.00000, 226.573, -118.994, 0.000350214, 150.671, 0.61766, 36.5048, 0.61767, -143.497
36, 0.00000, 225.877, -119.099, 0.000349049, 150.535, 0.67, 36.1881, 0.67001, -143.814
37, 0.00000, 225.022, -119.395, 0.00034765, 150.214, 0.713595, 35.6914, 0.713605, -144.31
38, 0.00000, 225.115, -119.634, 0.000347862, 149.996, 0.674341, 35.6364, 0.674351, -144.365
39, 0.00000, 224.372, -120.024, 0.00034669, 149.598, 0.687489, 35.2176, 0.687499, -144.784
40, 0.00000, 223.789, -120.422, 0.000345806, 149.204, 0.677202, 34.9281, 0.677212, -145.074
41, 0.00000, 222.532, -120.965, 0.000343835, 148.649, 0.693748, 34.4356, 0.693758, -145.566
42, 0.00000, 221.341, -121.317, 0.000341928, 148.271, 0.733266, 34.0175, 0.733275, -145.984
43, 0.00000, 219.325, -121.495, 0.000338548, 148.007, 0.877782, 33.0364, 0.877791, -146.965
44, 0.00000, 218.882, -121.54, 0.000337807, 147.945, 0.906314, 32.7953, 0.906324, -147.206
45, 0.00000, 219.162, -121.518, 0.000338276, 147.979, 0.887048, 32.9351, 0.887058, -147.066
46, 0.00000, 219.889, -121.465, 0.0003395, 148.063, 0.835082, 33.3218, 0.835092, -146.68
47, 0.00000, 221.299, -121.328, 0.000341862, 148.259, 0.736003, 34.0487, 0.736013, -145.953
48, 0.00000, 222.276, -121.233, 0.000343495, 148.397, 0.664817, 34.5073, 0.664827, -145.494
48, 0.00000, 222.276, -121.233, 0.000343495, 148.397, 0.664817, 34.5073, 0.664827, -145.494
