hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 218.402, -32.8988, 218.401, -152.9, 218.399, 87.101, 3.46923E-010, 91.2847, 59.1424, 124.723, 59.1424, 4.72264, 59.1423, -115.277, 0.000593633, 101.912
2, 0.00000, 219.512, -32.6567, 219.511, -152.657, 219.509, 87.3431, 2.86281E-010, 91.0211, 53.8525, 125.119, 53.8524, 5.11865, 53.8524, -114.881, 0.000493948, 101.694
3, 0.00000, 220.276, -32.4841, 220.275, -152.485, 220.274, 87.5157, 2.48384E-010, 90.8495, 50.1809, 125.379, 50.1808, 5.37856, 50.1808, -114.621, 0.000430447, 101.509
4, 0.00000, 220.451, -32.4365, 220.451, -152.437, 220.449, 87.5633, 2.42839E-010, 90.8559, 49.4246, 125.43, 49.4246, 5.42961, 49.4245, -114.57, 0.000417952, 101.484
5, 0.00000, 220.511, -32.4328, 220.511, -152.433, 220.509, 87.567, 2.36842E-010, 90.6245, 48.9351, 125.441, 48.9351, 5.44067, 48.935, -114.559, 0.00040986, 101.393
6, 0.00000, 220.505, -32.1315, 220.504, -152.132, 220.503, 87.8683, 1.62108E-010, 92.1815, 43.3478, 121.381, 43.3478, 1.38034, 43.3476, -118.619, 0.000283032, 102.283
7, 0.00000, 221.776, -30.3932, 221.775, -150.394, 221.774, 89.6067, 2.73446E-010, -85.001, 21.1189, 66.9905, 21.1188, -53.0106, 21.1186, -173.011, 0.000456298, -73.9339
8, 0.00000, 224.703, -27.389, 224.702, -147.39, 224.7, 92.6109, 9.69852E-010, -79.3562, 63.1907, -8.36417, 63.191, -128.365, 63.1918, 111.635, 0.00163999, -68.4934
9, 0.00000, 225.681, -25.2594, 225.681, -145.26, 225.679, 94.7405, 1.57832E-009, -74.9173, 106.382, -13.1857, 106.383, -133.186, 106.384, 106.814, 0.00267142, -63.9881
10, 0.00000, 225.532, -23.9243, 225.531, -143.925, 225.529, 96.0757, 2.12127E-009, -71.6117, 133.963, -13.243, 133.963, -133.244, 133.965, 106.757, 0.00359136, -60.7052
11, 0.00000, 225.583, -23.2987, 225.582, -143.299, 225.58, 96.7013, 2.36259E-009, -70.1436, 146.768, -13.25, 146.769, -133.251, 146.77, 106.75, 0.00400302, -59.2748
12, 0.00000, 227.189, -21.4954, 227.188, -141.496, 227.186, 98.5047, 2.43791E-009, -67.1787, 138.606, -9.70161, 138.606, -129.702, 138.608, 110.298, 0.00412971, -56.2742
13, 0.00000, 225.373, -23.089, 225.371, -143.09, 225.369, 96.911, 2.23207E-009, -69.4185, 115.14, -7.84072, 115.141, -127.842, 115.142, 112.159, 0.00378196, -58.5457
14, 0.00000, 224.973, -24.5911, 224.972, -144.592, 224.97, 95.4089, 1.75905E-009, -72.5282, 92.4268, -6.73151, 92.4275, -126.732, 92.4288, 113.268, 0.00297808, -61.6105
15, 0.00000, 222.695, -26.8994, 222.694, -146.9, 222.692, 93.1005, 1.27426E-009, -76.4362, 59.7858, 1.84229, 59.7862, -118.159, 59.7871, 121.841, 0.00215603, -65.5289
16, 0.00000, 220.329, -29.3307, 220.328, -149.331, 220.326, 90.6692, 7.03279E-010, -80.8822, 31.6833, 32.6476, 31.6834, -87.3539, 31.6835, 152.645, 0.00118542, -69.9585
17, 0.00000, 217.124, -32.0664, 217.123, -152.067, 217.121, 87.9335, 5.82414E-011, 94.505, 46.5621, 110.438, 46.5619, -9.56317, 46.5615, -129.562, 0.000103389, 105.147
18, 0.00000, 214.641, -33.6897, 214.64, -153.691, 214.638, 86.3101, 5.76836E-010, 91.7144, 76.4128, 123.326, 76.4127, 3.32534, 76.4126, -116.674, 0.000985219, 102.471
19, 0.00000, 211.279, -34.339, 211.278, -154.34, 211.275, 85.6607, 8.26394E-010, 92.0931, 91.345, 122.068, 91.3449, 2.06696, 91.3448, -117.932, 0.00140753, 102.829
20, 0.00000, 210.559, -34.4753, 210.557, -154.476, 210.555, 85.5245, 8.80601E-010, 92.0489, 94.2795, 121.768, 94.2794, 1.76728, 94.2793, -118.232, 0.00150056, 102.906
21, 0.00000, 211.025, -34.3907, 211.023, -154.392, 211.021, 85.609, 8.44885E-010, 92.1486, 92.2922, 121.95, 92.2921, 1.94954, 92.2919, -118.049, 0.00143741, 102.863
22, 0.00000, 212.249, -34.1695, 212.248, -154.17, 212.245, 85.8303, 7.46427E-010, 92.0006, 86.947, 122.433, 86.9469, 2.43203, 86.9468, -117.567, 0.00127509, 102.691
23, 0.00000, 214.581, -33.7105, 214.58, -153.711, 214.578, 86.2892, 5.81716E-010, 91.76, 76.7058, 123.34, 76.7057, 3.33874, 76.7056, -116.66, 0.000993159, 102.413
24, 0.00000, 216.202, -33.3828, 216.201, -153.384, 216.199, 86.6169, 4.73777E-010, 91.3959, 69.3357, 123.958, 69.3356, 3.9574, 69.3356, -116.042, 0.000812331, 102.203
25, 0.00000, 218.408, -32.9005, 218.407, -152.901, 218.405, 87.0993, 3.45412E-010, 91.2767, 59.1446, 124.741, 59.1446, 4.74021, 59.1445, -115.259, 0.00059338, 101.919
26, 0.00000, 219.512, -32.6567, 219.511, -152.657, 219.509, 87.3431, 2.86771E-010, 91.0498, 53.8524, 125.119, 53.8524, 5.11859, 53.8523, -114.881, 0.000493949, 101.694
27, 0.00000, 220.276, -32.4841, 220.275, -152.485, 220.274, 87.5157, 2.50758E-010, 90.9948, 50.1809, 125.379, 50.1808, 5.37856, 50.1808, -114.621, 0.000430447, 101.509
28, 0.00000, 220.451, -32.4365, 220.451, -152.437, 220.449, 87.5633, 2.42076E-010, 90.4358, 49.4246, 125.43, 49.4246, 5.42961, 49.4245, -114.57, 0.000417952, 101.484
29, 0.00000, 220.511, -32.4328, 220.511, -152.433, 220.509, 87.567, 2.36728E-010, 90.3214, 48.9351, 125.441, 48.9351, 5.44067, 48.935, -114.559, 0.00040986, 101.393
30, 0.00000, 220.505, -32.1315, 220.504, -152.132, 220.503, 87.8683, 1.61768E-010, 91.9459, 43.3478, 121.381, 43.3478, 1.38034, 43.3476, -118.619, 0.000283032, 102.283
31, 0.00000, 221.776, -30.3932, 221.775, -150.394, 221.774, 89.6067, 2.73923E-010, -84.8615, 21.1189, 66.9905, 21.1188, -53.0106, 21.1186, -173.011, 0.000456298, -73.9339
32, 0.00000, 224.703, -27.389, 224.702, -147.39, 224.7, 92.6109, 9.70543E-010, -79.4263, 63.1907, -8.36417, 63.191, -128.365, 63.1918, 111.635, 0.00163999, -68.4934
33, 0.00000, 225.681, -25.2594, 225.681, -145.26, 225.679, 94.7405, 1.57832E-009, -74.9177, 106.382, -13.1857, 106.383, -133.186, 106.384, 106.814, 0.00267142, -63.9881
34, 0.00000, 225.532, -23.9243, 225.531, -143.925, 225.529, 96.0757, 2.12154E-009, -71.6411, 133.963, -13.243, 133.963, -133.244, 133.965, 106.757, 0.00359136, -60.7052
35, 0.00000, 225.583, -23.2987, 225.582, -143.299, 225.58, 96.7013, 2.36278E-009, -70.1737, 146.768, -13.25, 146.769, -133.251, 146.77, 106.75, 0.00400302, -59.2748
36, 0.00000, 224.476, -23.604, 224.475, -143.605, 224.473, 96.396, 2.48163E-009, -70.153, 140.932, -12.1494, 140.933, -132.15, 140.935, 107.85, 0.00420642, -59.2376
37, 0.00000, 222.971, -24.8103, 222.97, -144.811, 222.967, 95.1897, 2.27093E-009, -71.8877, 116.933, -9.96926, 116.934, -129.97, 116.935, 110.03, 0.00384705, -60.9942
38, 0.00000, 222.897, -25.9611, 222.896, -145.962, 222.894, 94.0388, 1.78666E-009, -74.5021, 93.7314, -8.52562, 93.7321, -128.527, 93.7334, 111.474, 0.00302402, -63.5727
39, 0.00000, 221.345, -27.708, 221.344, -147.709, 221.342, 92.2919, 1.28828E-009, -77.6063, 60.3329, 0.533332, 60.3334, -119.468, 60.3342, 120.532, 0.00217904, -66.6889
40, 0.00000, 219.926, -29.5518, 219.925, -149.553, 219.923, 90.4481, 7.04938E-010, -81.2607, 31.6825, 32.1348, 31.6825, -87.8667, 31.6827, 152.132, 0.00118954, -70.2772
41, 0.00000, 217.123, -32.0659, 217.122, -152.067, 217.119, 87.9339, 5.68281E-011, 97.0154, 46.5628, 110.432, 46.5626, -9.56904, 46.5622, -129.568, 0.000103385, 105.146
42, 0.00000, 214.641, -33.6897, 214.64, -153.691, 214.638, 86.3101, 5.7602E-010, 91.7056, 76.4127, 123.326, 76.4127, 3.32533, 76.4126, -116.674, 0.000985219, 102.471
43, 0.00000, 211.279, -34.339, 211.278, -154.34, 211.275, 85.6607, 8.26081E-010, 92.077, 91.345, 122.068, 91.3449, 2.06696, 91.3448, -117.932, 0.00140753, 102.829
44, 0.00000, 210.559, -34.4753, 210.557, -154.476, 210.555, 85.5245, 8.79892E-010, 92.1111, 94.2795, 121.768, 94.2794, 1.76728, 94.2793, -118.232, 0.00150056, 102.906
45, 0.00000, 211.025, -34.3907, 211.023, -154.392, 211.021, 85.609, 8.44114E-010, 92.0697, 92.2922, 121.95, 92.2921, 1.94954, 92.2919, -118.049, 0.00143741, 102.863
46, 0.00000, 212.249, -34.1695, 212.248, -154.17, 212.245, 85.8303, 7.47483E-010, 91.9492, 86.947, 122.433, 86.9469, 2.43203, 86.9468, -117.567, 0.00127509, 102.691
47, 0.00000, 214.581, -33.7105, 214.58, -153.711, 214.578, 86.2892, 5.81259E-010, 91.5526, 76.7058, 123.34, 76.7057, 3.33874, 76.7056, -116.66, 0.000993159, 102.413
48, 0.00000, 216.202, -33.3828, 216.201, -153.384, 216.199, 86.6169, 4.74121E-010, 91.5658, 69.3357, 123.958, 69.3356, 3.9574, 69.3356, -116.042, 0.000812331, 102.203
48, 0.00000, 216.202, -33.3828, 216.201, -153.384, 216.199, 86.6169, 4.74121E-010, 91.5658, 69.3357, 123.958, 69.3356, 3.9574, 69.3356, -116.042, 0.000812331, 102.203
