hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
1, 0.00000, 227.013, -120.863, 0.000524036, 148.21, 2.47471, 34.7182, 2.47473, -145.283
2, 0.00000, 227.388, -120.793, 0.000525266, 148.365, 2.25168, 35.0137, 2.2517, -144.987
3, 0.00000, 227.645, -120.744, 0.000526109, 148.474, 2.09719, 35.2087, 2.0972, -144.792
4, 0.00000, 227.698, -120.734, 0.000526283, 148.496, 2.06534, 35.2465, 2.06535, -144.754
5, 0.00000, 227.733, -120.727, 0.000526397, 148.51, 2.04452, 35.2787, 2.04453, -144.722
6, 0.00000, 227.695, -120.71, 0.000526161, 148.491, 2.1392, 35.2134, 2.13922, -144.787
7, 0.00000, 227.954, -120.537, 0.000526517, 148.609, 2.2906, 35.1947, 2.29061, -144.806
8, 0.00000, 228.698, -120.153, 0.000528332, 149.018, 2.23076, 35.5796, 2.23077, -144.421
9, 0.00000, 228.848, -119.906, 0.000528432, 149.212, 2.37826, 35.5965, 2.37827, -144.404
10, 0.00000, 228.68, -119.781, 0.000527628, 149.246, 2.6207, 35.3867, 2.62071, -144.614
11, 0.00000, 228.639, -119.715, 0.000527404, 149.285, 2.69492, 35.3416, 2.69493, -144.659
12, 0.00000, 228.292, -119.801, 0.000526207, 149.113, 2.92434, 35.0057, 2.92435, -144.995
13, 0.00000, 227.882, -119.992, 0.000524917, 148.849, 3.11607, 34.5667, 3.11608, -145.434
14, 0.00000, 227.957, -120.105, 0.000525389, 148.799, 2.94442, 34.6425, 2.94443, -145.358
15, 0.00000, 227.566, -120.339, 0.000524378, 148.543, 3.00279, 34.3456, 3.0028, -145.655
16, 0.00000, 227.231, -120.558, 0.000523683, 148.337, 2.95836, 34.2114, 2.95837, -145.789
17, 0.00000, 226.48, -120.867, 0.000521826, 147.997, 3.03176, 33.9008, 3.03177, -146.1
18, 0.00000, 225.756, -121.079, 0.000519854, 147.716, 3.20575, 33.5743, 3.20576, -146.426
19, 0.00000, 224.614, -121.25, 0.000516018, 147.304, 3.84169, 32.4894, 3.8417, -147.511
20, 0.00000, 224.384, -121.281, 0.000515231, 147.226, 3.96756, 32.2341, 3.96757, -147.766
21, 0.00000, 224.537, -121.26, 0.000515753, 147.279, 3.88263, 32.3902, 3.88264, -147.61
22, 0.00000, 224.959, -121.202, 0.00051718, 147.422, 3.65379, 32.8223, 3.6538, -147.178
23, 0.00000, 225.737, -121.084, 0.000519801, 147.706, 3.21775, 33.6101, 3.21776, -146.39
24, 0.00000, 226.281, -120.993, 0.000521615, 147.915, 2.90519, 34.1165, 2.9052, -145.884
25, 0.00000, 227.014, -120.863, 0.000524038, 148.21, 2.4747, 34.7177, 2.47471, -145.283
26, 0.00000, 227.388, -120.793, 0.000525266, 148.365, 2.25168, 35.0137, 2.2517, -144.987
27, 0.00000, 227.645, -120.744, 0.000526109, 148.474, 2.09719, 35.2087, 2.0972, -144.792
28, 0.00000, 227.698, -120.734, 0.000526283, 148.496, 2.06534, 35.2465, 2.06535, -144.754
29, 0.00000, 227.733, -120.727, 0.000526397, 148.51, 2.04452, 35.2787, 2.04453, -144.722
30, 0.00000, 227.695, -120.71, 0.000526161, 148.491, 2.1392, 35.2134, 2.13922, -144.787
31, 0.00000, 227.954, -120.537, 0.000526517, 148.609, 2.2906, 35.1947, 2.29061, -144.806
32, 0.00000, 228.698, -120.153, 0.000528332, 149.018, 2.23076, 35.5796, 2.23077, -144.421
33, 0.00000, 228.848, -119.906, 0.000528432, 149.212, 2.37826, 35.5965, 2.37827, -144.404
34, 0.00000, 228.68, -119.781, 0.000527628, 149.246, 2.6207, 35.3867, 2.62071, -144.614
35, 0.00000, 228.639, -119.715, 0.000527404, 149.285, 2.69492, 35.3416, 2.69493, -144.659
36, 0.00000, 228.292, -119.801, 0.000526207, 149.113, 2.92434, 35.0057, 2.92435, -144.995
37, 0.00000, 227.882, -119.992, 0.000524917, 148.849, 3.11607, 34.5667, 3.11608, -145.434
38, 0.00000, 227.957, -120.105, 0.000525389, 148.799, 2.94442, 34.6425, 2.94443, -145.358
39, 0.00000, 227.566, -120.339, 0.000524378, 148.543, 3.00279, 34.3456, 3.0028, -145.655
40, 0.00000, 227.231, -120.558, 0.000523683, 148.337, 2.95836, 34.2114, 2.95837, -145.789
41, 0.00000, 226.48, -120.867, 0.000521826, 147.997, 3.03176, 33.9008, 3.03177, -146.1
42, 0.00000, 225.756, -121.079, 0.000519854, 147.716, 3.20575, 33.5743, 3.20576, -146.426
43, 0.00000, 224.614, -121.25, 0.000516018, 147.304, 3.84169, 32.4894, 3.8417, -147.511
44, 0.00000, 224.384, -121.281, 0.000515231, 147.226, 3.96756, 32.2341, 3.96757, -147.766
45, 0.00000, 224.537, -121.26, 0.000515753, 147.279, 3.88263, 32.3902, 3.88264, -147.61
46, 0.00000, 224.959, -121.202, 0.00051718, 147.422, 3.65379, 32.8223, 3.6538, -147.178
47, 0.00000, 225.737, -121.084, 0.000519801, 147.706, 3.21775, 33.6101, 3.21776, -146.39
48, 0.00000, 226.281, -120.993, 0.000521615, 147.915, 2.90519, 34.1165, 2.9052, -145.884
48, 0.00000, 226.281, -120.993, 0.000521615, 147.915, 2.90519, 34.1165, 2.9052, -145.884
