hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 221.129, -32.2952, 221.129, -152.296, 221.127, 87.7047, 2.01706E-010, 94.418, 38.1119, 124.92, 38.1118, 4.91987, 38.1118, -115.079, 0.000346313, 103.782
2, 0.00000, 221.997, -32.1006, 221.996, -152.101, 221.995, 87.8993, 1.67555E-010, 94.1781, 34.6955, 125.283, 34.6955, 5.28222, 34.6954, -114.717, 0.000288131, 103.455
3, 0.00000, 222.593, -31.9644, 222.593, -151.965, 222.591, 88.0355, 1.45544E-010, 94.057, 32.3265, 125.526, 32.3265, 5.52544, 32.3265, -114.474, 0.000250973, 103.198
4, 0.00000, 222.718, -31.9364, 222.717, -151.937, 222.715, 88.0635, 1.41342E-010, 94.0551, 31.8377, 125.573, 31.8376, 5.57256, 31.8376, -114.427, 0.000243602, 103.144
5, 0.00000, 222.798, -31.918, 222.797, -151.919, 222.796, 88.0818, 1.38415E-010, 93.951, 31.5185, 125.612, 31.5185, 5.61117, 31.5184, -114.388, 0.000238891, 103.1
6, 0.00000, 222.687, -31.8964, 222.687, -151.897, 222.685, 88.1035, 1.51149E-010, 94.1655, 32.9743, 125.562, 32.9742, 5.5618, 32.9742, -114.438, 0.00026023, 103.394
7, 0.00000, 223.192, -31.5342, 223.191, -151.535, 223.189, 88.4657, 1.71391E-010, 95.0127, 35.3075, 125.719, 35.3075, 5.71825, 35.3074, -114.281, 0.000294283, 104.309
8, 0.00000, 224.808, -30.6719, 224.807, -150.673, 224.805, 89.3279, 1.60442E-010, 96.1067, 34.4061, 126.501, 34.4061, 6.50074, 34.4061, -113.499, 0.00027631, 105.306
9, 0.00000, 225.097, -30.1508, 225.096, -150.151, 225.094, 89.849, 1.80864E-010, 97.1629, 36.6775, 126.79, 36.6775, 6.78972, 36.6775, -113.21, 0.000310865, 106.462
10, 0.00000, 224.668, -29.914, 224.667, -149.915, 224.665, 90.0859, 2.17967E-010, 98.1126, 40.3966, 126.731, 40.3966, 6.73056, 40.3965, -113.269, 0.000374297, 107.469
11, 0.00000, 224.563, -29.781, 224.562, -149.782, 224.56, 90.2189, 2.30236E-010, 98.4426, 41.5345, 126.764, 41.5345, 6.7637, 41.5344, -113.236, 0.000394861, 107.859
12, 0.00000, 223.736, -30.0049, 223.735, -150.006, 223.733, 89.995, 2.70253E-010, 98.6327, 45.0439, 126.346, 45.0439, 6.34529, 45.0438, -113.654, 0.000463097, 108.087
13, 0.00000, 222.779, -30.4585, 222.778, -150.459, 222.776, 89.5413, 3.06483E-010, 98.4109, 47.9665, 125.709, 47.9665, 5.70798, 47.9664, -114.291, 0.000524828, 107.922
