hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
1, 0.00000, 221.639, -121.96, 0.000342673, 147.725, 0.565793, 34.3678, 0.565802, -145.634
2, 0.00000, 222.51, -121.798, 0.0003441, 147.918, 0.515049, 34.7052, 0.515058, -145.297
3, 0.00000, 223.113, -121.685, 0.000345087, 148.052, 0.479857, 34.9281, 0.479866, -145.074
4, 0.00000, 223.243, -121.662, 0.000345299, 148.079, 0.47258, 34.967, 0.472589, -145.036
5, 0.00000, 223.323, -121.647, 0.00034543, 148.098, 0.467844, 35.0041, 0.467853, -144.999
6, 0.00000, 223.483, -121.489, 0.000345646, 148.243, 0.48959, 35.0651, 0.489599, -144.937
7, 0.00000, 225.15, -120.548, 0.00034817, 149.167, 0.524769, 35.6874, 0.524779, -144.315
8, 0.00000, 228.222, -118.818, 0.000352942, 150.908, 0.512056, 37.2064, 0.512066, -142.796
9, 0.00000, 229.404, -117.589, 0.000354712, 152.12, 0.546403, 38.1144, 0.546412, -141.888
10, 0.00000, 229.505, -116.844, 0.000354775, 152.835, 0.602232, 38.5038, 0.602242, -141.498
11, 0.00000, 229.597, -116.491, 0.000354887, 153.178, 0.619343, 38.7344, 0.619353, -141.268
12, 0.00000, 228.825, -116.71, 0.000353604, 152.929, 0.671783, 38.3031, 0.671793, -141.699
13, 0.00000, 227.645, -117.446, 0.000351703, 152.167, 0.715293, 37.3936, 0.715303, -142.608
14, 0.00000, 227.387, -118.087, 0.000351372, 151.547, 0.675692, 36.9705, 0.675702, -143.031
15, 0.00000, 225.872, -119.111, 0.000349007, 150.513, 0.688395, 35.9899, 0.688404, -144.012
16, 0.00000, 224.276, -120.157, 0.000346558, 149.47, 0.677496, 35.1478, 0.677506, -144.854
17, 0.00000, 221.264, -121.565, 0.000341876, 148.046, 0.693029, 33.9571, 0.693039, -146.045
18, 0.00000, 218.705, -122.466, 0.000337856, 147.118, 0.73174, 33.1284, 0.731749, -146.873
19, 0.00000, 216.039, -122.867, 0.000333477, 146.628, 0.875458, 32.0019, 0.875467, -147.999
20, 0.00000, 215.501, -122.938, 0.000332591, 146.539, 0.903813, 31.7471, 0.903823, -148.254
21, 0.00000, 215.858, -122.888, 0.000333178, 146.601, 0.884683, 31.9053, 0.884692, -148.096
22, 0.00000, 216.844, -122.754, 0.0003348, 146.767, 0.833082, 32.3416, 0.833092, -147.66
23, 0.00000, 218.655, -122.475, 0.000337778, 147.107, 0.7345, 33.1625, 0.734509, -146.839
24, 0.00000, 219.923, -122.264, 0.00033986, 147.362, 0.663626, 33.7046, 0.663636, -146.297
25, 0.00000, 221.64, -121.96, 0.000342674, 147.725, 0.565796, 34.3679, 0.565806, -145.634
26, 0.00000, 222.51, -121.798, 0.0003441, 147.918, 0.515049, 34.7052, 0.515058, -145.297
27, 0.00000, 223.113, -121.685, 0.000345087, 148.052, 0.479857, 34.9281, 0.479866, -145.074
28, 0.00000, 223.243, -121.662, 0.000345299, 148.079, 0.47258, 34.967, 0.472589, -145.036
29, 0.00000, 223.323, -121.647, 0.00034543, 148.098, 0.467844, 35.0041, 0.467853, -144.999
30, 0.00000, 223.483, -121.489, 0.000345646, 148.243, 0.48959, 35.0651, 0.489599, -144.937
31, 0.00000, 225.15, -120.548, 0.00034817, 149.167, 0.524769, 35.6874, 0.524779, -144.315
32, 0.00000, 228.222, -118.818, 0.000352942, 150.908, 0.512056, 37.2064, 0.512066, -142.796
33, 0.00000, 229.404, -117.589, 0.000354712, 152.12, 0.546403, 38.1144, 0.546412, -141.888
34, 0.00000, 229.505, -116.844, 0.000354775, 152.835, 0.602232, 38.5038, 0.602242, -141.498
35, 0.00000, 229.597, -116.491, 0.000354887, 153.178, 0.619343, 38.7344, 0.619353, -141.268
36, 0.00000, 228.825, -116.71, 0.000353604, 152.929, 0.671783, 38.3031, 0.671793, -141.699
37, 0.00000, 227.645, -117.446, 0.000351703, 152.167, 0.715293, 37.3936, 0.715303, -142.608
38, 0.00000, 227.387, -118.087, 0.000351372, 151.547, 0.675692, 36.9705, 0.675702, -143.031
39, 0.00000, 225.872, -119.111, 0.000349007, 150.513, 0.688395, 35.9899, 0.688404, -144.012
40, 0.00000, 224.276, -120.157, 0.000346558, 149.47, 0.677496, 35.1478, 0.677506, -144.854
41, 0.00000, 221.264, -121.565, 0.000341876, 148.046, 0.693029, 33.9571, 0.693039, -146.045
42, 0.00000, 218.705, -122.466, 0.000337856, 147.118, 0.73174, 33.1284, 0.731749, -146.873
43, 0.00000, 216.039, -122.867, 0.000333477, 146.628, 0.875458, 32.0019, 0.875467, -147.999
44, 0.00000, 215.501, -122.938, 0.000332591, 146.539, 0.903813, 31.7471, 0.903823, -148.254
45, 0.00000, 215.858, -122.888, 0.000333178, 146.601, 0.884683, 31.9053, 0.884692, -148.096
46, 0.00000, 216.844, -122.754, 0.0003348, 146.767, 0.833082, 32.3416, 0.833092, -147.66
47, 0.00000, 218.655, -122.475, 0.000337778, 147.107, 0.7345, 33.1625, 0.734509, -146.839
48, 0.00000, 219.923, -122.264, 0.00033986, 147.362, 0.663626, 33.7046, 0.663636, -146.297
48, 0.00000, 219.923, -122.264, 0.00033986, 147.362, 0.663626, 33.7046, 0.663636, -146.297
