hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 218.658, -32.722, 218.657, -152.723, 218.655, 87.2778, 3.5353E-010, 93.2245, 61.777, 124.679, 61.777, 4.67814, 61.7769, -115.321, 0.000601114, 102.79
2, 0.00000, 219.746, -32.4894, 219.745, -152.49, 219.744, 87.5104, 2.93312E-010, 92.9143, 56.2533, 125.035, 56.2532, 5.03468, 56.2532, -114.965, 0.00049957, 102.517
3, 0.00000, 220.499, -32.3273, 220.499, -152.328, 220.497, 87.6725, 2.5593E-010, 93.192, 52.4165, 125.293, 52.4165, 5.29267, 52.4164, -114.707, 0.00043481, 102.3
4, 0.00000, 220.661, -32.2947, 220.661, -152.295, 220.659, 87.7051, 2.4822E-010, 92.7511, 51.6192, 125.378, 51.6192, 5.37797, 51.6191, -114.621, 0.000421744, 102.256
5, 0.00000, 220.762, -32.2727, 220.761, -152.273, 220.759, 87.7272, 2.42271E-010, 92.8474, 51.1021, 125.41, 51.1021, 5.40917, 51.1021, -114.59, 0.000413613, 102.217
6, 0.00000, 220.97, -31.9871, 220.969, -151.988, 220.967, 88.0128, 1.67845E-010, 93.7704, 45.3278, 121.252, 45.3278, 1.25147, 45.3277, -118.748, 0.000285292, 102.989
7, 0.00000, 223.111, -30.3802, 223.111, -150.381, 223.109, 89.6197, 2.67364E-010, -82.9324, 22.4146, 67.5524, 22.4145, -52.4486, 22.4143, -172.449, 0.000457955, -73.8127
8, 0.00000, 227.161, -27.5599, 227.161, -147.56, 227.159, 92.44, 9.55928E-010, -78.3784, 65.0475, -7.84752, 65.0478, -127.848, 65.0486, 112.152, 0.00162976, -69.2596
9, 0.00000, 228.879, -25.5539, 228.878, -145.554, 228.877, 94.4461, 1.54815E-009, -74.5472, 109.182, -12.9837, 109.183, -132.984, 109.184, 107.016, 0.00264083, -65.398
10, 0.00000, 229.196, -24.3089, 229.195, -144.31, 229.193, 95.6911, 2.07433E-009, -71.6653, 137.242, -13.141, 137.242, -133.142, 137.244, 106.859, 0.00353934, -62.5423
11, 0.00000, 229.41, -23.7273, 229.409, -143.728, 229.407, 96.2726, 2.30692E-009, -70.4549, 150.255, -13.1891, 150.256, -133.19, 150.258, 106.811, 0.00393506, -61.3182
12, 0.00000, 228.391, -24.0302, 228.39, -144.031, 228.388, 95.9697, 2.42989E-009, -70.3303, 144.143, -12.0166, 144.144, -132.017, 144.146, 107.983, 0.00414466, -61.2189
13, 0.00000, 226.728, -25.1765, 226.727, -145.177, 226.725, 94.8235, 2.23048E-009, -71.753, 119.599, -9.61125, 119.599, -129.612, 119.601, 110.388, 0.00380442, -62.6315
14, 0.00000, 226.259, -26.243, 226.258, -146.244, 226.256, 93.7569, 1.75694E-009, -73.9722, 96.0161, -8.01358, 96.0168, -128.015, 96.0181, 111.986, 0.00299818, -64.8351
15, 0.00000, 224.182, -27.8897, 224.181, -147.89, 224.179, 92.1102, 1.27285E-009, -76.6133, 62.0675, 1.52703, 62.068, -118.474, 62.0688, 121.526, 0.00217166, -67.4533
16, 0.00000, 222.054, -29.6104, 222.053, -149.611, 222.051, 90.3895, 6.99001E-010, -79.5009, 33.2558, 33.6296, 33.2559, -86.3719, 33.256, 153.627, 0.00119228, -70.48
17, 0.00000, 218.195, -31.9499, 218.194, -151.951, 218.192, 88.05, 6.15839E-011, 96.448, 48.9317, 110.231, 48.9315, -9.77014, 48.9311, -129.769, 0.000104053, 105.707
18, 0.00000, 214.989, -33.4572, 214.988, -153.458, 214.986, 86.5426, 5.88755E-010, 94.1458, 79.8253, 123.308, 79.8253, 3.30716, 79.8251, -116.692, 0.00100227, 103.512
19, 0.00000, 211.674, -34.0602, 211.673, -154.061, 211.67, 85.9396, 8.4348E-010, 95.0519, 95.4336, 122.086, 95.4335, 2.08478, 95.4333, -117.914, 0.00143442, 104.198
20, 0.00000, 211.003, -34.1712, 211.001, -154.172, 210.999, 85.8286, 8.98405E-010, 95.1794, 98.5072, 121.812, 98.5071, 1.81076, 98.507, -118.188, 0.00152868, 104.374
21, 0.00000, 211.448, -34.0942, 211.446, -154.095, 211.444, 85.9056, 8.60415E-010, 95.0926, 96.4304, 121.976, 96.4303, 1.97539, 96.4301, -118.024, 0.00146455, 104.286
22, 0.00000, 212.669, -33.8874, 212.668, -153.888, 212.665, 86.1124, 7.62338E-010, 94.6027, 90.8357, 122.435, 90.8356, 2.43421, 90.8355, -117.565, 0.00130024, 103.935
