hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, -1.2402, -6.83033E-006, -1.2402, -6.82974E-006, -1.2402, -6.83074E-006, 2.28227E-017, -4.67739E-018
7, 0.00000, -6.98794, 9.12701E-005, -6.98794, 9.12644E-005, -6.98794, 9.12638E-005, -2.12317E-016, 3.79547E-017
8, 0.00000, -16.2104, 0.000293987, -16.2104, 0.000293974, -16.2104, 0.000293971, -1.70449E-015, 3.14143E-016
9, 0.00000, -23.4771, -0.000452103, -23.4771, -0.000452069, -23.4771, -0.000452118, -4.26259E-015, 7.92226E-016
10, 0.00000, -28.466, -0.000297487, -28.466, -0.000297459, -28.466, -0.000297497, -7.65902E-015, 1.43522E-015
11, 0.00000, -30.647, -0.000555937, -30.647, -0.000555892, -30.647, -0.000555878, -9.43063E-015, 1.77471E-015
12, 0.00000, -30.2897, 0.000736093, -30.2897, 0.000736137, -30.2897, 0.000736115, -1.06561E-014, 2.01957E-015
13, 0.00000, -26.922, 0.00222101, -26.922, 0.002221, -26.922, 0.00222096, -9.2374E-015, 1.75734E-015
14, 0.00000, -22.8058, 0.000300789, -22.8058, 0.000300767, -22.8058, 0.000300804, -5.80897E-015, 1.09827E-015
15, 0.00000, -17.4367, -0.000246841, -17.4367, -0.000246833, -17.4367, -0.000246831, -3.28496E-015, 6.22357E-016
16, 0.00000, -11.5931, -0.000204806, -11.5931, -0.000204797, -11.5931, -0.000204797, -1.18249E-015, 2.22668E-016
17, 0.00000, -4.2165, -1.94166E-005, -4.2165, -1.94154E-005, -4.2165, -1.9417E-005, 4.15429E-017, -8.59426E-018
18, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
