hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, -0.975902, -1.4899E-005, -0.975902, -1.48975E-005, -0.975902, -1.49001E-005, 1.49982E-017, -2.49068E-018
7, 0.00000, -5.47584, 6.52498E-005, -5.47584, 6.52439E-005, -5.47584, 6.52516E-005, -1.45431E-016, 2.53421E-017
8, 0.00000, -12.6261, 0.000178281, -12.6261, 0.000178265, -12.6261, 0.000178284, -1.09522E-015, 1.86228E-016
9, 0.00000, -18.2074, 0.000496679, -18.2074, 0.000496647, -18.2074, 0.000496632, -2.65025E-015, 4.50972E-016
10, 0.00000, -22.0154, -0.000633105, -22.0154, -0.000633036, -22.0154, -0.00063314, -4.66437E-015, 7.9664E-016
11, 0.00000, -23.7007, -0.00133695, -23.7007, -0.00133685, -23.7007, -0.00133684, -5.71743E-015, 9.80029E-016
12, 0.00000, -23.4141, 0.00136406, -23.4141, 0.00136417, -23.4141, 0.0013641, -6.46639E-015, 1.11168E-015
13, 0.00000, -20.8386, -0.000416534, -20.8386, -0.000416529, -20.8386, -0.000416514, -5.68861E-015, 9.78909E-016
14, 0.00000, -17.6931, 0.000609376, -17.6931, 0.000609322, -17.6931, 0.000609412, -3.63605E-015, 6.26952E-016
15, 0.00000, -13.5713, -0.000684594, -13.5713, -0.000684571, -13.5713, -0.000684562, -2.11038E-015, 3.63257E-016
16, 0.00000, -9.05686, -9.98718E-005, -9.05686, -9.98627E-005, -9.05686, -9.98744E-005, -7.85639E-016, 1.35767E-016
17, 0.00000, -3.31073, -4.75025E-005, -3.31073, -4.74979E-005, -3.31073, -4.75038E-005, 2.48623E-017, -3.563E-018
18, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
30, 0.00000, -0.975902, -1.4899E-005, -0.975902, -1.48975E-005, -0.975902, -1.49001E-005, 1.50253E-017, -2.32487E-018
31, 0.00000, -5.47584, 6.52498E-005, -5.47584, 6.52439E-005, -5.47584, 6.52516E-005, -1.45534E-016, 2.49699E-017
32, 0.00000, -12.6261, 0.000178281, -12.6261, 0.000178265, -12.6261, 0.000178284, -1.09627E-015, 1.87383E-016
33, 0.00000, -18.2074, 0.000496679, -18.2074, 0.000496647, -18.2074, 0.000496632, -2.65154E-015, 4.51018E-016
34, 0.00000, -22.0154, -0.000633105, -22.0154, -0.000633036, -22.0154, -0.00063314, -4.6647E-015, 7.98157E-016
35, 0.00000, -23.7007, -0.00133695, -23.7007, -0.00133685, -23.7007, -0.00133684, -5.7142E-015, 9.79178E-016
36, 0.00000, -23.4141, 0.00136406, -23.4141, 0.00136417, -23.4141, 0.0013641, -6.46494E-015, 1.11079E-015
37, 0.00000, -20.8386, -0.000416534, -20.8386, -0.000416529, -20.8386, -0.000416514, -5.68866E-015, 9.79964E-016
38, 0.00000, -17.6931, 0.000609376, -17.6931, 0.000609322, -17.6931, 0.000609412, -3.63797E-015, 6.23053E-016
39, 0.00000, -13.5713, -0.000684594, -13.5713, -0.000684571, -13.5713, -0.000684562, -2.11002E-015, 3.65627E-016
40, 0.00000, -9.05686, -9.98718E-005, -9.05686, -9.98627E-005, -9.05686, -9.98744E-005, -7.86631E-016, 1.37289E-016
41, 0.00000, -3.31073, -4.75025E-005, -3.31073, -4.74979E-005, -3.31073, -4.75038E-005, 2.42232E-017, -3.06383E-018
42, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
43, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
44, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
45, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
46, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
47, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
48, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
48, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
