hour,Node,Caso,Phase,Voltage_case,Voltage_base,diff_percent
1,5002086_Mon_trf_5286699a_1,Caso DG,V1,221.637,221.639,-0.0009023682655171471
2,5002086_Mon_trf_5286699a_1,Caso DG,V1,222.512,222.514,-0.0008988198495418489
3,5002086_Mon_trf_5286699a_1,Caso DG,V1,223.114,223.116,-0.0008963947005188106
4,5002086_Mon_trf_5286699a_1,Caso DG,V1,223.241,223.239,0.0008959008058670526
5,5002086_Mon_trf_5286699a_1,Caso DG,V1,223.321,223.32,0.000447787927639609
6,5002086_Mon_trf_5286699a_1,Caso DG,V1,223.285,222.955,0.14801193065864596
7,5002086_Mon_trf_5286699a_1,Caso DG,V1,224.12,222.368,0.7878831486544869
8,5002086_Mon_trf_5286699a_1,Caso DG,V1,226.176,222.607,1.6032739311881425
9,5002086_Mon_trf_5286699a_1,Caso DG,V1,226.744,222.029,2.1235964671281695
10,5002086_Mon_trf_5286699a_1,Caso DG,V1,226.485,221.07,2.449450400325698
11,5002086_Mon_trf_5286699a_1,Caso DG,V1,226.444,220.775,2.5677726191824175
12,5002086_Mon_trf_5286699a_1,Caso DG,V1,225.631,219.862,2.6239186398741055
13,5002086_Mon_trf_5286699a_1,Caso DG,V1,224.601,219.088,2.5163404659315005
14,5002086_Mon_trf_5286699a_1,Caso DG,V1,224.661,219.771,2.225043340568144
15,5002086_Mon_trf_5286699a_1,Caso DG,V1,223.589,219.531,1.8484860908026624
16,5002086_Mon_trf_5286699a_1,Caso DG,V1,222.611,219.705,1.3226826881500091
17,5002086_Mon_trf_5286699a_1,Caso DG,V1,220.577,219.406,0.5337137544096298
18,5002086_Mon_trf_5286699a_1,Caso DG,V1,218.704,218.705,-0.0004572369173108867
19,5002086_Mon_trf_5286699a_1,Caso DG,V1,216.039,216.045,-0.002777199194612339
20,5002086_Mon_trf_5286699a_1,Caso DG,V1,215.503,215.508,-0.002320099485877032
21,5002086_Mon_trf_5286699a_1,Caso DG,V1,215.859,215.859,0.0
22,5002086_Mon_trf_5286699a_1,Caso DG,V1,216.847,216.849,-0.0009223007714958926
23,5002086_Mon_trf_5286699a_1,Caso DG,V1,218.659,218.663,-0.001829298966912143
24,5002086_Mon_trf_5286699a_1,Caso DG,V1,219.926,219.928,-0.0009093885271586836
25,5002086_Mon_trf_5286699a_1,Caso DG,V1,221.639,221.639,0.0
26,5002086_Mon_trf_5286699a_1,Caso DG,V1,222.512,222.514,-0.0008988198495418489
27,5002086_Mon_trf_5286699a_1,Caso DG,V1,223.114,223.116,-0.0008963947005188106
28,5002086_Mon_trf_5286699a_1,Caso DG,V1,223.241,223.239,0.0008959008058670526
29,5002086_Mon_trf_5286699a_1,Caso DG,V1,223.321,223.32,0.000447787927639609
30,5002086_Mon_trf_5286699a_1,Caso DG,V1,223.285,222.955,0.14801193065864596
31,5002086_Mon_trf_5286699a_1,Caso DG,V1,224.12,222.368,0.7878831486544869
32,5002086_Mon_trf_5286699a_1,Caso DG,V1,226.176,222.607,1.6032739311881425
33,5002086_Mon_trf_5286699a_1,Caso DG,V1,226.744,222.029,2.1235964671281695
34,5002086_Mon_trf_5286699a_1,Caso DG,V1,226.485,221.07,2.449450400325698
35,5002086_Mon_trf_5286699a_1,Caso DG,V1,226.444,220.775,2.5677726191824175
36,5002086_Mon_trf_5286699a_1,Caso DG,V1,225.631,219.862,2.6239186398741055
37,5002086_Mon_trf_5286699a_1,Caso DG,V1,224.601,219.088,2.5163404659315005
38,5002086_Mon_trf_5286699a_1,Caso DG,V1,224.661,219.771,2.225043340568144
39,5002086_Mon_trf_5286699a_1,Caso DG,V1,223.589,219.531,1.8484860908026624
40,5002086_Mon_trf_5286699a_1,Caso DG,V1,222.611,219.705,1.3226826881500091
41,5002086_Mon_trf_5286699a_1,Caso DG,V1,220.577,219.406,0.5337137544096298
42,5002086_Mon_trf_5286699a_1,Caso DG,V1,218.704,218.705,-0.0004572369173108867
43,5002086_Mon_trf_5286699a_1,Caso DG,V1,216.039,216.045,-0.002777199194612339
44,5002086_Mon_trf_5286699a_1,Caso DG,V1,215.503,215.508,-0.002320099485877032
45,5002086_Mon_trf_5286699a_1,Caso DG,V1,215.859,215.859,0.0
46,5002086_Mon_trf_5286699a_1,Caso DG,V1,216.847,216.849,-0.0009223007714958926
47,5002086_Mon_trf_5286699a_1,Caso DG,V1,218.659,218.663,-0.001829298966912143
48,5002086_Mon_trf_5286699a_1,Caso DG,V1,219.926,219.928,-0.0009093885271586836
